Run date	Classifier	Accuracy	AUC	Precision	Recall
2022-02-25 16:05:00.490195	Logistic Regression	0.678	0.676	0.68	0.717
2022-02-25 16:05:06.578444	Support Vector Classifier	0.678	0.676	0.68	0.717
2022-02-25 16:06:16.681867	Random Forest	0.678	0.676	0.68	0.717
2022-02-25 16:11:49.271027	LogisticRegression	0.678	0.676	0.68	0.717
2022-02-25 16:12:29.378875	LogisticRegression	0.678	0.676	0.68	0.717
2022-02-25 16:20:00.205804	LogisticRegression	0.678	0.676	0.68	0.717
2022-02-25 16:22:13.058336	LogisticRegression	0.712	0.71	0.711	0.75
2022-02-25 16:22:15.649623	Support Vector Classifier	0.712	0.71	0.711	0.75
2022-02-25 16:23:16.380946	Random Forest	0.712	0.71	0.711	0.75
2022-02-25 16:37:29.409627	Logistic Regression	0.789	0.78	0.855	0.81
2022-02-25 16:37:30.595166	Support Vector Classifier	0.789	0.78	0.855	0.81
2022-02-25 16:38:21.232900	Random Forest	0.789	0.78	0.855	0.81
2022-02-25 16:42:19.225786	Logistic Regression	0.733	0.716	0.804	0.776
2022-02-25 16:42:20.581023	Support Vector Classifier	0.733	0.716	0.804	0.776
2022-02-25 16:43:13.137568	Random Forest	0.733	0.716	0.804	0.776
2022-02-25 23:06:20.069515	LogisticRegression	0.65	0.649	0.66	0.674
2022-02-25 23:06:20.691450	Support Vector Classifier	0.65	0.649	0.66	0.674
2022-02-25 23:06:44.647918	Random Forest	0.65	0.649	0.66	0.674
2022-03-31 19:26:24.622949	LogisticRegression	0.712	0.71	0.711	0.75
2022-03-31 19:26:25.930821	Support Vector Classifier	0.712	0.71	0.711	0.75
2022-03-31 19:27:01.034720	Random Forest	0.712	0.71	0.711	0.75
2022-03-31 19:29:03.319889	LogisticRegression	0.678	0.676	0.68	0.717
2022-03-31 19:29:20.281261	Support Vector Classifier	0.678	0.676	0.68	0.717
2022-03-31 19:30:05.784479	Random Forest	0.678	0.676	0.68	0.717
2022-03-31 19:36:19.535285	Logistic Regression	0.789	0.766	0.831	0.845
2022-03-31 19:36:20.342310	Support Vector Classifier	0.789	0.766	0.831	0.845
2022-03-31 19:36:55.550099	Random Forest	0.789	0.766	0.831	0.845
2022-03-31 20:16:39.713491	LogisticRegression	0.605	0.603	0.615	0.641
2022-03-31 20:16:42.907098	Support Vector Classifier	0.605	0.603	0.615	0.641
2022-03-31 20:17:08.120714	Random Forest	0.605	0.603	0.615	0.641
2022-03-31 20:24:08.204774	LogisticRegression	0.61	0.607	0.61	0.696
2022-03-31 20:24:08.709687	Support Vector Classifier	0.61	0.607	0.61	0.696
2022-03-31 20:24:40.853146	Random Forest	0.61	0.607	0.61	0.696
2022-03-31 20:26:46.119523	Logistic Regression	0.767	0.728	0.794	0.862
2022-03-31 20:26:47.515669	Support Vector Classifier	0.767	0.728	0.794	0.862
2022-03-31 20:27:16.662249	Random Forest	0.767	0.728	0.794	0.862
2022-03-31 20:30:11.957432	Logistic Regression	0.678	0.631	0.73	0.793
2022-03-31 20:30:12.629122	Support Vector Classifier	0.678	0.631	0.73	0.793
2022-03-31 20:30:39.677744	Random Forest	0.678	0.631	0.73	0.793
