"DKK1","ERRFI1","SOCS2","NCAPH","TMEM204","MATN2","IGF2BP3","C9orf72","GSN","IL31RA","ELFN2","TMEM64","C19orf71","RAB11B","PRMT3","ZCCHC3"
11.32,27.9,1.75,4.75,10.25,3.87,16.37,4.08,148.38,0.16,0.16,12.88,0,23.45,8.65,2.84
5.1,68.91,2.69,1.85,10.57,16.02,6.55,10.8,151.55,0.15,0.35,11.91,0.59,15.74,6.98,2.62
30.17,75.66,4.51,3.68,15,4.6,21.79,6.54,165.98,0.11,0.2,6.32,0,10.17,8.42,3.92
153.18,140.59,6.51,6.41,7.41,3.27,21.27,6.27,178.96,0.93,1.31,5.1,0.16,10.06,1.75,5.86
288.32,61.46,1.5,2.61,4.37,3.26,13.4,2.92,222.91,3.59,2.18,4.7,0.09,26.47,5.34,1.93
18.75,75.4,4.97,1.46,3.78,7.66,24.82,5.2,122.52,0.05,6.56,1.71,1.78,22.79,8.53,0.52
25.23,57.31,7.56,4.44,20.07,53.27,14.89,7.5,221.24,0.26,0.28,6.67,0.19,13.9,7.95,3.16
131.95,436.52,5.14,5.98,1.28,1.36,28.58,1.69,250.47,0.96,9.81,4.08,0.14,7.09,10.81,2.73
15.74,3.68,2.07,9.29,0,0.65,12.19,1.32,13.96,1.61,0.12,3.54,0.06,6.07,7.36,1.19
39.91,37.26,5.47,5.38,9.69,18.45,14.22,5.46,263.68,0.55,0.47,9.55,0,10.07,8.38,1.78
8.81,55.1,9.54,3.35,16.15,11.06,6.13,4.9,137.59,0.58,0.24,9.75,0.29,23.89,6.63,2.34
104.32,76.69,2.54,8.11,0.02,0.51,12.97,0.88,36.62,0.55,3.85,1.71,0.06,4.93,4.44,2.31
7.41,57.16,2.35,3.63,7.48,7.04,17.17,4.58,132.17,0.09,1.34,5.13,0.06,26.73,6.3,2.9
2.41,63.76,5.49,3.1,7.97,7.01,36.41,11.07,168.35,0.22,0.24,6.37,0.49,15.56,8.64,1.85
91.03,38.62,5.33,10.21,2.74,2.57,10.26,5.81,55.75,0.32,0.26,6.79,0,5.35,20.42,3.23
8.34,61.58,5.13,1.52,18.55,13.83,10.82,4.44,125.8,0.01,0.14,11.59,0.3,17.83,7.63,2.27
0.69,27.88,4.23,1.53,10.13,9.53,9.33,4.31,128.15,0.06,0.8,5.81,0.21,16.52,9.67,4.01
7.51,12.56,0.88,2.81,5.54,2.75,0.32,4.18,135.28,0,0.02,9.63,0.15,16.91,8.99,3.23
8.98,28.74,3.82,2,15.84,18.96,9.39,5.57,293.83,0.05,0.45,5.25,0.16,12.43,4.29,0.74
9.59,43.87,3.98,3.38,8.48,7.82,14.54,2.24,191.78,0.17,0.38,2.76,0.17,18.47,6.5,0.48
9.31,17.79,3.72,1.28,16.33,9.87,0.39,3.4,355.14,1.37,1.66,5.84,0,12.9,4.88,0.46
1.59,22.36,10.99,8.58,7.15,26.13,2.28,10.2,537.03,0.04,0.05,3.82,0.07,10.31,14.12,3.77
24.8,208.55,2.3,4.72,7.79,6.01,13.92,3.08,179.38,0.24,0.46,3.29,0.1,18.75,7.13,3.38
228.51,161.45,3.01,8.88,0.13,1.04,17.45,0.68,23.38,1.38,1.92,7.18,0,2.78,3.71,2.66
3.53,27.68,2.95,4.15,14.39,11.17,6.52,3.01,263.35,0.14,0.39,3.09,0.03,27.61,5.69,0.02
8.46,22.26,10.66,5.35,6.37,0.69,5.74,2.86,157.16,0.03,0.01,3.4,0.18,16.51,8.11,1.32
2.82,71.26,4.06,1.78,9.32,9.64,10.68,4.37,146.17,0.37,0.38,4.52,0.05,17.8,5.77,0.3
134.28,58.92,2.21,4.21,0,2.01,16.25,0.52,78.81,0.34,2.25,1.2,0.12,1.94,3.29,1.02
4.66,8.3,0.84,3.53,0,1.54,1.36,0,23.73,0,0.51,0.37,0,6.32,2.41,0.45
10.84,15.98,4.61,3.61,11.39,7.99,6.2,4.06,178.64,0.02,0.29,20.25,0.11,15.52,7.61,4.9
2.56,236.57,2.87,1.89,7.4,3.3,6.52,6.17,139.07,3.45,0.87,2.16,0.16,25.71,4.94,0.83
1.06,48.09,2.92,1.43,13.88,9.13,0.48,3.36,231.55,0.19,0.42,6.17,0.13,15.48,3.93,0.35
16.61,74.28,2.85,2.45,10.74,21.16,9.18,4.73,108.62,0.11,1.07,6.81,1.37,20.32,6.34,2.53
48.36,197.66,5.21,1.84,4.67,6.34,9.93,7.3,129.52,0.32,1.38,4.34,0.14,17.56,7.8,1.95
0,0,0.41,0,2.55,5.93,3.7,0,4.24,0,0,0.82,6.7,2.96,0,0
20.62,115.24,1.44,2.49,9.62,12.72,10.74,5.01,332.01,0.07,0.38,2.05,0.15,26.48,3.49,0.02
158.21,104.33,1.07,11.79,0.02,14.83,24.62,3.79,109.27,0.2,2.03,4.85,0.1,7.57,10.97,2.06
1.32,51.29,4.23,2.53,34.64,15.02,15.39,4.28,170.84,0.36,1.15,4.14,0.14,20.79,5.81,0.83
0.5,16.96,3,2.37,9.79,8.69,8.69,6.6,251.84,0.15,0.01,7.51,0.48,21.04,5.2,1.06
46.93,136.5,2.86,1.73,10.34,18.25,24.06,6.14,111.41,0.66,0.38,11.19,0.26,20.35,8.12,2.71
21.86,161.4,3.24,2.92,8.56,5.06,8.64,3.69,135.97,0.94,0.61,6.62,0.06,23.39,6.92,2.6
1.11,56.65,3.27,3.24,14.1,7.39,9.48,5.73,136.52,0.06,0.3,6.98,0,21.65,4.56,5.02
0.55,46.96,3.53,1.63,4.36,38.7,0.86,8.32,69.83,0.03,0.07,9.53,1.29,13.66,8.61,2.36
39.29,244.11,3.14,4.88,6.68,4.16,47.95,6,157.72,5.63,4.77,4.89,0.05,15.53,9.87,3.25
3.19,45.88,3.87,1.74,15.26,18.9,15.04,4.44,316.75,0.14,0.19,8.51,0.33,15.47,8.49,4.03
21.89,65.87,3.24,3.44,6.95,11.22,11.68,7.15,207.38,0.45,2.33,6.41,0.14,20.37,4.89,2.7
32.02,75.23,4.69,3.56,16.19,7.53,16.23,5.37,205.55,0.38,0.84,7.95,0.04,11.49,9.68,4.35
2.05,21.84,5.41,4,10.25,7.84,17.97,9.04,302.77,0.14,0.04,5.95,0.19,11.45,7.83,4.32
7.77,97.43,3.39,6.85,10.26,3.82,1.18,9.18,159.28,3.32,0.07,7.24,0.13,10.58,10.91,1.62
3.6,71.8,3.86,3.1,6.21,9.99,6.37,6.95,105.91,0.21,0.19,10.7,0.29,13,8.91,1.25
0.77,57.27,6.15,2.58,12.89,14.38,2.87,4.74,154.11,0.02,0.09,8.76,0.19,14.09,10.89,2.29
15.33,92.52,4.36,1.62,19.21,2.71,0.96,5.44,216.44,0.1,0.07,8.03,0.1,13.45,6.44,1.23
0.57,123.25,4.38,2.39,14.78,15.3,0.5,6.5,365.23,0.01,0.05,6.62,0.4,22.37,7.39,1.93
3.08,65.04,2.45,2.5,2.64,9.99,7.19,7.8,70.27,0.32,0.14,6.5,0.38,10.25,10.81,1.37
11.57,16.75,2.99,3.12,6.7,9.5,0.26,4.53,563.85,0.03,0.01,6.31,0.18,18.12,9.03,2.47
100.43,71.38,2.87,3.57,4.35,6.86,19.4,9.33,117.46,0.8,1.8,6.17,0,22.42,7.85,1.79
38.32,133.62,3.66,4.76,6.61,33.67,4.08,3.56,114.78,0.05,0.12,14.11,0.04,19.56,10.31,1.47
59.53,131.63,4.38,3.28,10.42,3.93,15.58,7,175.95,3.33,2.45,11.87,0.12,9.37,8.28,1.27
0.32,93.78,0.84,5.94,0.94,1.05,0.15,6.49,71.07,0.2,0.09,4.78,0,7.09,7.86,5.2
9.28,74.71,0.27,6.74,0.64,3.05,23.67,2.19,42.11,2.62,2.62,2.39,0.19,26.76,6.34,0
0.86,73.88,4.64,1.65,3.44,6.69,0.81,4.91,174.07,0.1,0.46,7.46,0.16,24.19,6.19,3.19
3.58,44.53,4.79,3.15,13.43,7.3,19.69,7.33,216.36,0.05,0.3,8.18,0.05,13.34,4.66,2.04
106.7,224.52,2.15,1.87,2.69,1.73,18.91,12.28,47.11,1.28,0.48,15.82,0,16.1,8.03,1.96
4.06,71,5.8,3.14,7.86,6.39,2.82,10.47,101.58,2.04,0.25,9.4,0.32,15.33,10.5,2.6
0.26,36.27,3.59,4.43,7.08,32.67,17.99,10.73,156.49,0,0.02,9.34,0.26,16.39,10.24,10.83
50.45,57.78,1.14,2.69,3.73,14.21,1.68,6.33,83.79,0.35,0.16,5.62,0.28,20.66,4.78,1.9
29.72,75.13,0.24,3.64,0,13.29,15.83,1.55,38.43,0.01,1.04,3.17,0,5.41,3.24,4.51
18.19,77.33,4.15,3.84,6.45,18.4,20.35,7.28,271.48,0.04,0.21,8.28,0.06,13.49,8.79,1.48
14.37,44.1,3.63,1.51,11.93,26.46,11.06,10.16,220.79,0.29,0.68,10.22,0.53,12.48,9.65,3.13
1.78,79.33,4.67,2.25,12.94,10.6,1.42,9.77,157.75,0.05,0.07,11.48,0.2,13.65,5.82,1.7
14.01,124.49,4.04,4.53,9.88,9.5,12.88,18.75,128.06,0.19,0.65,6.76,0.53,17.44,9.73,3.71
4.3,57.59,5.51,4.32,23.09,23.62,18.08,6.44,250.21,0.09,0.14,14.65,0.4,13.87,8.96,0
113.58,122.4,6.12,1.46,29.77,24.94,19.14,4.73,371.25,0.23,0.29,8.31,0.07,12.98,5.21,2.81
1.55,63.41,9.12,3.21,15.9,28.64,5.77,6.25,165.08,0.05,0.45,14.08,0.31,19.33,8.51,4.09
10.16,92.59,5.89,1.89,8.06,6.5,16.35,9.9,125.48,0.15,0.21,4.22,0.56,9.93,5.67,1.91
7.61,60.33,5.5,1.56,19.73,27.89,5.98,17.06,214.72,0.17,0.23,10.59,0.26,14.7,7.87,3.94
35.27,207.77,3.76,4.58,17.03,8.59,2.34,8.58,115.11,1.35,0.3,11.45,0.11,17.92,8.89,3.41
0.85,75.73,4.03,2.03,6.89,42.42,7.76,12.27,92.76,0.08,0.09,15.01,0.17,20.63,6.01,2.63
0.5,157.22,4.81,1.98,10.19,12.75,5.5,8.56,134.06,0.17,0.53,8.1,0.14,19.59,4.64,2.5
2.58,66.7,4.57,2.46,8.95,18.08,9.41,6.49,107.04,0.02,2.4,7.03,5.04,31.86,5.64,0.45
13.78,30.24,1.88,2.47,1.74,26.97,8.44,4.13,24.85,0.68,0.49,1.01,1.35,18.39,5.83,0
18.08,60.66,4.64,4.58,8.59,5.61,24.76,6.24,137.93,0.06,0.74,9.16,0.49,23.9,10.92,1.69
2.56,48.04,5.28,1.15,12.17,22.84,17.69,4.11,326.59,1.31,0.66,8.76,1.39,21.81,9.24,1.85
10.8,107.01,1.98,2.06,6.82,3.1,29,10.07,239.49,0.17,0.86,8.61,0,30.09,9.59,4.29
10.47,67.36,3.71,2.72,8.45,4.27,21.85,10.22,119.76,0.3,2.52,2.72,4.58,24.51,7.24,0
38.01,101.72,4.23,6.54,8.39,13.18,0.78,7.2,107.02,0.12,2.79,7.88,0.22,17.55,8.7,3.23
19.53,35.33,1.73,3.48,4.99,12.5,18.21,4.1,119.67,0.46,0.64,17.68,0,14.99,14.94,1.86
1.4,145.05,2.06,2.57,3.42,10.71,9.35,5.65,53.48,0.25,0.17,3.59,0.49,31.63,2.79,1.35
1.19,44.6,3.72,2.68,12.28,5.06,11.37,9.61,175.77,0.05,0.21,7.18,0.38,23.41,4.23,0
41.34,302.01,5.47,15.26,4.79,2.32,13.52,4.93,190.9,1.28,0.19,6.61,0,11.55,11.68,3.55
