"FAM120A","CAB39L","GABPB1","CA2","EPHB6","PRLR","TXNDC15","AKR1A1","DLGAP5","IGF2BP3","ALDOB","IFNAR1","NCEH1","CAMK2G","NGLY1","IL31RA","ZNF584","LRRN3","NSUN3","PLD6","ZBTB7C","RTEL1"
50.32,2.23,11.54,286.94,1.71,1.26,20.14,109.39,7.63,16.37,2.86,17.79,28.94,6.62,6,0.16,3.27,0.14,5.26,0.69,12.4,1.78
42.58,4.11,11.91,19.84,5.39,1.68,22.26,41.98,3.45,6.55,0.7,35.34,12.27,8.48,12.78,0.15,3.76,0.36,7.55,0.58,5.11,2.9
33.39,3.46,9.68,8.94,15.32,0.28,17.43,55.8,6.7,21.79,2.22,22.14,21.09,6.36,11.05,0.11,3.91,0.25,4.32,0.5,1.75,1.98
39.21,6.31,16.56,9.16,11.09,1.82,17.2,43.42,5.86,21.27,1.74,16.78,19.5,12.98,10.3,0.93,3.47,0.22,3.39,0.91,0.63,3.28
28.53,2.17,9.89,3.37,2.97,0.3,13.62,22.05,3.14,13.4,2.57,12.2,12.17,11.3,5.33,3.59,2.95,0.11,3.96,0.25,0.58,6.28
60.58,1.58,12.13,4.33,72.82,3.07,7.96,30.29,2.55,24.82,180.02,12.72,4.81,24,14.66,0.05,4.43,0.05,6.92,0.62,1.19,12.25
42.83,6.34,9.72,50.45,2.72,2.56,18.84,46.25,6.54,14.89,82.75,24.06,10.48,11.37,8.73,0.26,3.97,0.5,7.12,0.77,2.62,1.83
44.3,7.58,17.73,0.31,0.3,0.01,5.95,26.75,17.69,28.58,0,21.16,7.18,11.52,13.26,0.96,5.93,0.01,3.18,1.87,7.43,6.3
13.83,1.59,6.93,4.85,0.05,0,7.56,30.47,19.24,12.19,0,5.53,5.86,4.51,8.11,1.61,5.67,0.01,2.45,0.67,0.02,3.62
74.74,2.61,11.45,144.83,11.6,0.61,24.04,76.35,13.44,14.22,1.41,36.68,35.45,8.56,12.92,0.55,2.5,0.19,7.28,1.12,3.83,1.71
