"AKR1A1","ALDOB","CA2","CAB39L","CAMK2G","DLGAP5","EPHB6","FAM120A","GABPB1","IFNAR1","IGF2BP3","IL31RA","LRRN3","NCEH1","NGLY1","NSUN3","PLD6","PRLR","RTEL1","TXNDC15","ZBTB7C","ZNF584"
0.2236,-0.1468,1.9033,-0.2459,-0.0082,-0.3153,-0.1963,0.2763,-1.1209,-0.0466,-0.5149,-0.0918,0.3275,-0.425,0.1027,0.735,-0.492,-0.1742,-0.9577,-0.3037,2.1202,0.1932
0.3752,-0.0977,-0.1559,-0.5759,-0.508,0.1168,0.0061,-0.336,-0.6473,0.8975,0.3608,0.3105,-0.0302,1.8586,0.3897,1.3309,-0.3013,-0.1567,0.355,-0.2661,0.3223,-1.2335
0.3228,-0.2667,-0.6044,-0.6806,0.0327,2.1009,0.339,-0.3584,-0.3914,-0.7124,1.5082,-0.4593,-0.2921,0.5917,0.8274,-0.2957,-0.0272,-0.2221,4.0077,-0.4032,-0.9042,-0.5873
-0.0082,-0.1877,-0.5397,-0.1955,0.3072,-0.2332,-0.4144,0.8148,-0.4247,-0.4406,0.8475,-0.4492,-0.2727,0.1839,-0.5765,-0.1102,0.283,0.2936,-0.093,0.0243,-0.4289,-0.0811
-0.2904,-0.1391,-0.474,-0.1276,-0.4758,-0.3055,0.7277,-0.5775,-0.334,0.1603,0.4684,0.5164,-0.2005,-0.4984,-0.794,-0.5324,-0.4405,-0.1865,-0.6502,-0.4413,-0.5555,-0.5454
-0.5835,0.0535,-0.7877,0.1488,0.0153,-0.9083,-0.361,0.5247,-0.4454,0.2092,0.0914,-0.5497,-0.3576,-0.3254,0.7612,0.0158,0.001,0.1918,-0.7222,-0.1487,1.6881,0.9218
0.109,-0.0699,-0.5728,-0.5298,-0.0624,-0.6864,-0.0465,-0.001,-0.7995,-0.3384,0.5589,-0.2047,-0.3144,-0.2834,-0.7461,-0.6255,0.067,-0.1716,0.6888,-0.2866,0.8085,-0.7984
0.4049,-0.0668,0.1935,-0.1024,-0.105,0.2984,-0.0689,-0.1886,-0.0739,0.417,0.4778,-0.0888,-0.1402,0.9462,0.1645,0.4281,-0.2617,0.0434,0.0908,-0.7141,-0.5655,-0.8345
-0.6736,-0.1339,-0.1054,0.7589,0.1833,-0.39,-0.3205,0.9995,-1.4112,0.1745,-0.9464,-0.4254,-0.0651,0.4521,0.1175,0.3224,-0.2872,-0.1939,0.5916,-0.4285,0.931,1.0646
-1.0894,-0.2718,-0.796,0.8028,0.3639,-0.3403,-0.4465,-0.5184,0.2906,-0.739,-0.9534,9.1962,-0.3502,-0.8021,-1.8152,0.1956,-0.2383,-0.2715,0.253,-0.44,-1.2004,-0.7329
0.8743,-0.1188,1.1661,0.0545,-0.3671,-0.0979,-0.1858,0.3894,0.2909,-0.9869,-0.3235,-0.531,0.0399,-0.3693,-0.028,-0.1062,0.1856,0.0054,-0.7175,-0.4214,0.484,-0.927
-0.0641,-0.1858,0.4107,0.3019,-0.3741,-0.2332,-0.0828,-0.5575,1.4195,-0.6947,0.8105,-0.0221,0.2094,-0.9566,-0.68,-0.4225,-0.4421,-0.2125,-0.5127,0.103,-0.4799,-1.663
2.2774,-0.2721,-0.6654,-1.2592,-0.6573,4.277,-0.5396,-1.6697,0.0486,-0.9555,-0.6284,0.2851,-0.0202,-1.2346,1.3547,-1.581,1.7368,-0.2467,1.2911,-0.8551,-1.1697,1.5693
-0.0256,-0.0907,-0.2078,-0.0353,-0.6413,-0.4172,0.0637,-0.5207,0.5872,0.6873,-0.7176,0.4406,-0.2107,0.1828,0.1368,0.6401,-0.1983,-0.1552,-0.832,-0.0298,9e-04,-1.2628
-0.6682,-0.0242,-0.6135,3.4942,4.412,-0.7861,-0.4776,-0.2013,-0.5964,-1.1344,-0.3,-0.1486,-0.268,-0.7347,-0.6941,-0.3167,0.4999,-0.2152,-0.201,-0.1738,-0.5252,-0.4811
-0.2756,-0.1588,-0.6183,-0.5775,-0.2033,0.4438,0.3665,0.4039,0.314,-1.3708,-0.2582,0.4497,-0.3616,-0.0587,-1.7941,-1.1192,-0.4749,-0.2661,-0.2186,0.0786,-0.016,-0.175
2.3877,-0.0646,-0.3144,0.9101,-0.8968,-0.8056,0.5332,-1.2421,-1.1336,0.2331,-0.8021,-0.2214,-0.3096,-1.4051,0.7897,-2.2572,0.4706,-0.0774,-0.6446,0.1374,-0.7374,1.2373
-1.2767,-0.2164,-0.1531,-0.9978,-0.0978,0.4363,-0.5407,1.3855,-0.7589,-0.9898,1.2849,-0.1166,-0.352,-0.1677,-0.396,0.6238,-0.4523,-0.214,-0.5173,-1.1399,1.2262,-0.0183
-0.1568,-0.2505,-0.6809,0.1829,1.6661,0.3639,1.1423,-0.4282,-0.7204,0.5103,-0.7037,-0.0801,-0.2527,-0.825,1.8007,1.3675,-0.6463,-0.2681,0.2737,-0.2473,-0.3462,1.0465
-0.7141,-0.1701,0.0787,0.3399,0.1152,0.3659,0.0816,-0.3764,-0.6018,1.7743,-0.4168,-0.3663,-0.229,-0.0317,0.4088,0.0401,0.0503,-0.1064,-0.7481,-0.1241,1.4888,-0.2586
-0.077,0.1185,1.4713,-0.5863,-0.0664,-0.0023,-0.0378,-0.6204,-0.5136,-0.5436,0.3516,-0.4015,-0.1938,-0.0322,-1.8052,-0.8693,-0.4301,-0.2565,0.3757,-1.0291,0.3049,-1.0556
0.0478,-0.0118,-0.4504,-0.0439,-0.2591,-0.6006,-0.3046,-0.1445,-0.9181,-1.7827,-0.848,-0.548,-0.2525,-0.6635,-1.1332,-0.8962,-0.0523,-0.1988,0.849,-0.6336,0.259,-0.3254
-1.2118,-0.2573,-0.5571,-0.5044,-1.0449,-1.353,-0.2965,-1.5077,-1.1515,-2.2012,-0.964,-0.5523,-0.2523,-1.4977,-0.775,-2.4716,3.8138,2.4733,1.1385,3.2646,-1.1407,2.736
0.6511,-0.2216,-0.5907,-0.4985,-0.6321,-0.2143,-0.5214,-0.4305,-0.3992,-0.6282,-0.8077,-0.3594,-0.0591,-0.053,-1.7376,-0.9643,0.5849,0.2398,-0.69,0.0759,-1.1245,0.434
0.4321,12.2775,0.5746,-0.5705,0.4942,-0.5017,-0.2452,-0.7677,-0.783,-0.4101,-0.0485,-0.5321,-0.0117,-0.6249,-0.2488,0.0028,-0.1371,-0.1279,-0.3039,-0.2975,-0.2324,-0.1974
1.262,-0.1574,-0.2888,-0.4371,-0.2153,-0.4818,0.202,-0.0414,-0.9986,-0.3946,-0.8276,-0.4637,-0.1788,0.0426,0.8498,0.0139,-0.4222,-0.1876,1.5191,-0.6124,-0.1892,0.9419
-0.4693,-0.2471,-0.6906,-0.8666,-0.1872,1.1833,0.4649,-0.6763,-0.4107,0.9972,1.1957,2.1774,-0.3101,2.3218,0.2034,-1.5479,-0.679,-0.2504,-0.362,-0.1881,-0.7176,-0.5338
0.9174,-0.2303,-0.5545,-1.3495,-0.0111,-0.2523,-0.2201,-0.6443,-0.1948,-0.5526,0.2528,-0.046,-0.2809,0.1174,-1.7021,0.3483,0.5111,-0.274,1.4683,0.7305,0.3211,0.165
-0.061,-0.2503,-0.2764,0.5573,-0.0624,-0.7,-0.046,0.7203,-0.2625,0.1104,-0.9428,0.827,-0.2899,0.4412,0.348,0.6977,-0.3853,-0.2436,1.144,-0.314,0.7907,-0.6638
-1.31,-0.2563,-0.7744,2.1712,-0.4921,-1.3511,-0.518,-2.3435,-1.1949,-1.2498,-0.9747,-0.5998,10.5114,-1.5221,-0.5468,-0.1332,1.0319,-0.1167,-0.7571,1.8799,-1.1371,0.9571
-1.8667,-0.2655,-0.6202,-0.2563,1.1103,-1.3293,-0.3128,-1.5836,-0.4962,-1.569,-0.9524,-0.5998,-0.2986,-1.1438,-0.5624,-1.07,2.8611,1.0241,1.0144,2.0389,-1.1161,2.213
-1.1819,-0.1675,-0.7257,0.7727,-0.2456,-1.3262,-0.2945,-1.1393,-1.1609,-1.1511,-0.9157,-0.5536,0.4836,-1.4559,-1.3221,0.3081,3.8339,1.2204,0.8062,2.7263,-0.9068,0.654
