"C19orf71","C9orf72","DKK1","ELFN2","ERRFI1","GSN","IGF2BP3","IL31RA","MATN2","NCAPH","PRMT3","RAB11B","SOCS2","TMEM204","TMEM64","ZCCHC3"
-0.1655,-0.3006,1.5839,-0.1547,-0.4083,2.0349,-0.5149,-0.0918,0.4297,-0.4067,-1.0796,0.9806,-0.1999,0.6555,-1.0935,-0.2766
0.9954,1.0838,-0.6128,-0.2313,2.0118,1.1256,0.3608,0.3105,0.361,-0.0593,-0.8646,-0.1729,-0.343,-0.3146,-1.0695,-0.7369
-0.7842,-0.6469,1.8386,-0.4585,0.2869,-0.3286,1.5082,-0.4593,-1.1673,0.3849,-0.9221,-0.4145,-0.4294,-0.6957,-0.4565,-0.9741
1.4143,-0.5548,-0.5073,-0.6298,-0.5452,-0.6797,0.8475,-0.4492,-0.9828,0.1505,0.833,-0.7151,0.0419,-0.0938,-0.2111,-0.3218
0.0754,-0.7731,-0.22,-0.5528,-0.3423,0.1929,0.4684,0.5164,-0.3231,-0.174,-0.6689,0.3497,-0.1428,0.1115,-0.5414,-0.4042
-0.3457,-0.8413,-0.5523,-0.6726,-0.7817,-0.5461,0.0914,-0.5497,0.5396,-0.6179,-0.1841,-0.7211,0.0736,0.7087,-0.1651,-0.0018
1.8651,-0.7204,-0.0686,0.3336,-0.0979,-0.5334,0.5589,-0.2047,-1.1062,-0.6017,-0.7422,0.6125,-0.6871,1.0156,-0.4855,-0.6381
0.2348,-0.0793,-0.4918,0.0979,-0.6704,-0.6541,0.4778,-0.0888,-0.1634,1.1772,0.1006,-0.412,-0.2534,-0.4029,-0.9851,0.2246
0.4466,-0.6541,-0.3097,-0.2412,-0.4246,0.4578,-0.9464,-0.4254,0.3515,-0.3548,-0.126,0.7859,-0.6371,-0.3772,-1.3589,-1.0433
-0.2524,-0.146,-0.2947,-0.2076,1.552,-0.4476,-0.9534,9.1962,-1.4266,1.4341,-0.2524,1.2585,-0.5641,5.9643,-1.8457,0.8399
1.5964,1.0308,-0.6359,-0.2993,0.532,-0.5777,-0.3235,-0.531,0.291,-0.1109,0.1985,-0.5189,0.4108,-1.2097,-0.0045,0.1262
-0.7217,-1.0945,1.6792,0.717,-0.7016,0.7448,0.8105,-0.0221,-0.0105,-0.6238,-1.0049,-0.6885,-0.1146,0.1678,-0.6264,4.3552
-0.4976,-0.7977,-0.6356,-0.6655,-0.9474,-0.5663,-0.6284,0.2851,-0.7726,6.8987,0.5579,-0.2201,-0.5383,0.0705,1.6954,1.2176
-0.3577,0.5816,-0.5836,-0.4294,1.4892,-0.427,-0.7176,0.4406,0.1416,-0.4399,-0.128,-0.0253,0.3305,0.3531,-0.1504,-0.3664
-0.3465,-0.1553,-0.5948,-0.1974,-0.4531,0.6974,-0.3,-0.1486,-0.044,-0.726,-0.2754,-0.0032,-0.0629,0.0312,-0.1669,-0.5313
-1.125,0.2165,2.4845,0.2233,1.99,1.7256,-0.2582,0.4497,-1.2778,0.0895,0.4093,-0.6428,-0.9378,-0.6648,-1.0809,0.0089
-0.4159,-0.8621,-0.4602,-0.6511,-0.5437,-0.6843,-0.8021,-0.2214,-0.5578,-0.9012,-0.6899,0.7704,0.4377,-1.118,-0.6216,0.2988
4.6674,0.9889,-0.6093,-0.371,-0.1113,0.0864,1.2849,-0.1166,-0.7838,0.9285,1.4276,0.099,-0.7107,-0.5314,0.243,-0.2904
0.1494,-1.5941,0.9604,3.2494,0.1229,-0.1136,-0.7037,-0.0801,0.118,0.1408,0.3793,0.4136,-0.9209,-0.5469,-0.9506,-0.9314
-0.6766,-0.8009,-0.444,0.7373,-0.6887,-0.3845,-0.4168,-0.3663,2.5816,0.7053,1.676,0.3417,-0.6521,-0.6337,0.7923,-0.4551
-0.1089,-0.9743,0.1584,-0.5976,-0.5731,3.2748,0.3516,-0.4015,-0.0049,-0.07,-0.6626,0.9906,-0.6366,-0.2434,0.2782,-0.5197
-0.4181,-0.7236,-0.6373,-0.153,-1.0492,1.1435,-0.848,-0.548,0.1055,-0.6824,-2.0165,2.0322,-0.146,0.7749,-1.0198,0.1532
0.4135,3.8899,-0.7303,3.2977,-0.5563,-0.3151,-0.964,-0.5523,-0.8839,-1.4095,-1.583,4.3003,0.6899,-0.4899,0.1156,5.6473
-1.1075,-0.9231,-0.5302,0.8693,-0.4592,-0.8676,-0.8077,-0.3594,-0.9689,-0.1613,-0.7495,0.5579,0.0498,-0.5276,0.3937,0.5121
-0.4865,-0.3908,-0.533,0.1467,-1.0088,-0.4403,-0.0485,-0.5321,0.0273,-0.3515,0.0076,0.1778,-0.161,-0.0186,-0.3121,0.11
0.3881,-0.1841,-0.5173,-0.6787,-0.0338,-0.348,-0.8276,-0.4637,-0.054,-0.7209,-0.9174,0.6312,-0.572,-0.0961,-0.4962,-0.198
0.1225,-0.3258,-0.165,-0.2149,1.4339,-0.2334,1.1957,2.1774,-0.7605,0.0847,-0.1998,0.1332,-0.2183,-0.5465,-0.4769,-1.2974
0.2842,-0.2305,-0.4225,-0.1349,0.2165,-0.069,0.2528,-0.046,-1.3805,0.3079,-1.4976,-0.2548,-0.3773,0.54,-0.8249,-0.2346
-0.2753,-0.3776,-0.4002,0.328,0.899,0.108,-0.9428,0.827,0.5084,-0.165,0.1204,0.4328,-0.6498,-0.0901,-0.8534,-0.6422
0.236,-0.2797,-0.7329,6.4933,-0.8884,-1.0341,-0.9747,-0.5998,-0.1696,-1.3906,-1.1827,2.3067,1.4549,-0.6309,1.179,3.9146
1.1082,0.4714,-0.7329,3.8521,0.6291,-0.9645,-0.9524,-0.5998,-0.2069,-1.39,-1.2278,1.7937,1.3612,1.1505,-0.6372,3.6055
-0.0498,-0.4941,-0.7229,-0.1211,2.4733,0.4514,-0.9157,-0.5536,0.1652,-1.3727,-2.2642,2.4555,1.3579,0.6938,-0.3179,3.239
0.8573,0.1766,-0.7336,4.831,-0.4187,-1.2114,-0.9951,-0.5998,-0.6156,-1.3287,0.219,-0.2814,1.439,-0.5912,3.5898,1.9828
3.3112,-1.4231,-0.735,-0.7068,0.3728,-1.348,-0.9842,-0.5998,-0.3923,-1.4389,-1.6239,2.0048,7.2521,-1.0036,-1.3166,1.242
0.3033,0.5757,-0.735,1.0939,5.9973,-1.0582,-0.9757,-0.5998,4.1777,-1.2552,-0.2975,0.3287,3.4089,-1.3309,0.2715,3.3936
