"ARL5A","ASCL3","DDIT3","DDOST","GUCY2C","LRRC8E","THAP5","THSD1P1","UBE2C"
-1.4649,-0.0274,0.3099,-1.3235,-0.1995,1.5142,-1.2208,-0.4533,-0.2723
-0.8052,-0.1353,0.5845,0.1831,-0.2006,1.1144,-0.8709,-0.5797,0.1114
-0.9873,-0.2813,0.0202,0.7998,-0.2012,-0.3542,-0.5853,-0.7215,2.2395
0.7383,-0.2813,0.5838,-0.2568,-0.1926,-0.122,-0.5143,1.5536,-0.1564
-0.0877,-0.2813,-0.5122,-0.3502,-0.1986,0.0739,-0.6992,-0.2856,-0.3534
-0.16,-0.1727,-0.4482,-1.4037,-0.1926,0.3953,-0.169,0.6287,-0.5964
-0.4108,-0.0673,-0.4055,-0.1349,-0.2021,-0.1275,-0.3952,1.5653,-0.7373
-0.1544,-0.0968,-0.3937,0.4246,-0.0678,-0.4574,-0.1448,-0.0247,0.5474
-1.4562,-0.1302,-0.5872,-0.8951,-0.1938,2.7109,-1.5112,0.1231,-0.2954
-1.5762,-0.2813,-0.4016,-0.7368,-0.2004,-0.8233,-0.125,2.2975,1.0078
0.215,-0.1321,1.1117,-0.5306,0.4298,-0.2246,-0.1099,0.1906,0.2414
-0.6658,-0.2813,-0.2101,0.2387,-0.1722,-0.4725,-0.1588,0.1514,-0.6011
-0.0762,-0.2813,0.3461,3.5176,-0.2039,-0.9231,-0.7772,-1.2038,5.4597
0.6423,-0.0667,0.0925,-0.4412,-0.1988,0.1448,-0.1338,-0.8632,-0.5323
-0.2443,-0.2813,-0.5619,-1.0343,0.1679,-0.9101,0.1313,2.068,-0.6745
-1.5407,-0.0919,-0.8056,0.76,-0.1342,0.1442,-0.2378,-1.0109,-0.0956
-1.2819,-0.0081,-0.2794,2.1743,-0.2015,0.8409,-0.6574,-0.031,-0.3345
0.3099,-0.2813,1.5431,-1.5806,-0.1781,0.8485,-0.7455,-0.5158,0.2986
-1.6324,-0.2009,-0.1934,-0.0429,-0.2002,2.1033,-0.2045,0.4467,0.2873
