"","x"
"1","ZNF644"
"2","C1orf109"
"3","IPP"
"4","MGA"
"5","FOXJ3"
"6","USP33"
"7","USP1"
"8","ZMYM4"
"9","DBT"
"10","FAM73A"
"11","RSBN1"
"12","EIF2C4"
"13","ERCC4"
"14","CUL5"
"15","RBBP4"
"16","TNPO1"
"17","TTC37"
"18","RPAP2"
"19","ZNF37A"
"20","TRIM33"
"21","PAPD5"
"22","KLHDC10"
"23","TYW3"
"24","ATMIN"
"25","ZNF551"
"26","CDC37"
"27","ANKRD13C"
"28","UBXN7"
"29","STXBP5"
"30","GDAP2"
"31","MMACHC"
"32","CYB5RL"
"33","ZMYM1"
"34","COL4A3BP"
"35","C20orf177"
"36","ACADM"
"37","UBR3"
"38","KPNA5"
"39","KDM4A"
"40","ZBTB33"
"41","USP24"
"42","EPS15"
"43","FAM179B"
"44","MTF1"
"45","C9orf89"
"46","ZCCHC11"
"47","C1orf83"
"48","GCLM"
"49","ZNF765"
"50","ZNF252"
"51","SIKE1"
"52","ZMYM6"
"53","ZNF616"
"54","DBNL"
"55","SHPRH"
"56","MYCBP2"
"57","POLR3A"
"58","TMED5"
"59","MBD5"
"60","IER3"
"61","CAPN7"
"62","ZRANB3"
"63","SCN8A"
"64","DDX20"
"65","CAND1"
"66","AHCYL1"
"67","PKN2"
"68","PRMT10"
"69","HDAC7"
"70","CLCC1"
"71","MDN1"
"72","C9orf41"
"73","C8orf37"
"74","PLEKHM3"
"75","ZNF813"
"76","AGL"
"77","ERCC6"
"78","ZSWIM4"
"79","POLD4"
"80","MSH2"
"81","CHD9"
"82","RALY"
"83","FAM125A"
"84","ZNF420"
"85","WDFY3"
"86","SBNO1"
