Run date	Classifier	Accuracy	AUC	Precision	Recall
2021-11-11 10:56:01.648405	Logistic Regression	0.593	0.593	0.609	0.609
2021-11-11 10:56:05.148368	Support Vector Classifier	0.593	0.593	0.609	0.609
2021-11-11 10:56:27.205490	Random Forest	0.593	0.593	0.609	0.609
2021-11-11 10:57:15.270985	Logistic Regression	0.593	0.593	0.609	0.609
2021-11-11 10:57:16.981286	Support Vector Classifier	0.593	0.593	0.609	0.609
2021-11-11 10:57:39.150531	Random Forest	0.593	0.593	0.609	0.609
2021-11-11 10:59:05.789543	Logistic Regression	0.684	0.683	0.691	0.707
2021-11-11 10:59:09.339332	Support Vector Classifier	0.684	0.683	0.691	0.707
2021-11-11 10:59:34.959515	Random Forest	0.684	0.683	0.691	0.707
2021-11-11 11:00:18.955141	Logistic Regression	0.718	0.717	0.723	0.739
2021-11-11 11:00:23.187886	Support Vector Classifier	0.718	0.717	0.723	0.739
2021-11-11 11:00:56.292244	Random Forest	0.718	0.717	0.723	0.739
2021-11-11 12:45:27.273095	Logistic Regression	0.733	0.702	0.783	0.81
2021-11-11 12:45:44.041831	Support Vector Classifier	0.733	0.702	0.783	0.81
2021-11-11 12:46:15.638651	Random Forest	0.733	0.702	0.783	0.81
2021-11-11 12:47:03.017525	Logistic Regression	0.778	0.751	0.817	0.845
2021-11-11 12:47:11.220931	Support Vector Classifier	0.778	0.751	0.817	0.845
2021-11-11 12:47:35.777705	Random Forest	0.778	0.751	0.817	0.845
2021-11-11 12:48:02.010924	Logistic Regression	0.7	0.648	0.738	0.828
2021-11-11 12:48:07.274606	Support Vector Classifier	0.7	0.648	0.738	0.828
2021-11-11 12:48:38.406314	Random Forest	0.7	0.648	0.738	0.828
2021-11-11 13:14:34.815967	Logistic Regression	0.778	0.751	0.817	0.845
2021-11-11 13:14:36.402023	Support Vector Classifier	0.778	0.751	0.817	0.845
2021-11-11 13:14:59.866993	Random Forest	0.778	0.751	0.817	0.845
2021-11-11 13:16:15.289034	Logistic Regression	0.718	0.717	0.723	0.739
2021-12-14 07:07:55.227698	Logistic Regression	0.733	0.702	0.783	0.81
2021-12-14 07:08:50.023544	Support Vector Classifier	0.733	0.702	0.783	0.81
2021-12-14 07:09:39.828474	Random Forest	0.733	0.702	0.783	0.81
2021-12-14 07:10:17.794419	Logistic Regression	0.778	0.751	0.817	0.845
2021-12-14 07:10:58.730517	Support Vector Classifier	0.778	0.751	0.817	0.845
2021-12-14 07:11:47.382896	Random Forest	0.778	0.751	0.817	0.845
2021-12-14 07:12:26.165005	Logistic Regression	0.7	0.648	0.738	0.828
2021-12-14 07:12:58.955108	Support Vector Classifier	0.7	0.648	0.738	0.828
2021-12-14 07:13:55.357270	Random Forest	0.7	0.648	0.738	0.828
2022-01-14 14:23:43.986639	Logistic Regression	0.722	0.693	0.78	0.793
2022-01-14 14:23:50.514533	Support Vector Classifier	0.722	0.693	0.78	0.793
2022-01-14 14:24:14.188945	Random Forest	0.722	0.693	0.78	0.793
2022-01-14 14:41:44.533835	Logistic Regression	0.667	0.665	0.67	0.707
2022-01-14 14:42:29.751110	Support Vector Classifier	0.667	0.665	0.67	0.707
2022-01-14 14:43:25.596383	Random Forest	0.667	0.665	0.67	0.707
2022-01-14 14:46:24.996803	Logistic Regression	0.508	0.499	0.519	0.739
2022-01-14 14:46:56.640661	Logistic Regression	0.508	0.499	0.519	0.739
2022-01-14 14:47:51.638445	Support Vector Classifier	0.508	0.499	0.519	0.739
2022-01-14 14:50:58.875334	Random Forest	0.508	0.499	0.519	0.739
2022-01-16 21:55:17.566739	Logistic Regression	0.722	0.693	0.78	0.793
2022-01-16 21:55:23.442869	Support Vector Classifier	0.722	0.693	0.78	0.793
2022-01-16 21:55:49.726109	Random Forest	0.722	0.693	0.78	0.793
2022-01-17 21:18:41.497121	Logistic Regression	0.767	0.763	0.849	0.776
2022-01-17 21:20:21.795208	Support Vector Classifier	0.767	0.763	0.849	0.776
2022-01-17 21:21:42.392236	Random Forest	0.767	0.763	0.849	0.776
2022-01-18 15:41:48.413733	Logistic Regression	0.622	0.588	0.707	0.707
2022-01-18 15:41:54.638171	Support Vector Classifier	0.622	0.588	0.707	0.707
2022-01-18 15:42:20.392264	Random Forest	0.622	0.588	0.707	0.707
2022-01-18 15:43:24.996679	Logistic Regression	0.554	0.553	0.571	0.565
2022-01-18 15:43:29.906139	Support Vector Classifier	0.554	0.553	0.571	0.565
2022-01-18 15:44:03.900961	Random Forest	0.554	0.553	0.571	0.565
2022-01-18 15:49:24.730760	Logistic Regression	0.554	0.553	0.571	0.565
2022-01-18 15:49:39.186727	Support Vector Classifier	0.554	0.553	0.571	0.565
2022-01-18 15:50:20.889513	Random Forest	0.554	0.553	0.571	0.565
2022-01-18 22:26:41.728372	Logistic Regression	0.718	0.717	0.723	0.739
2022-01-18 22:27:05.638613	Support Vector Classifier	0.718	0.717	0.723	0.739
2022-01-18 22:28:08.168255	Logistic Regression	0.778	0.751	0.817	0.845
2022-01-18 22:28:09.315610	Support Vector Classifier	0.778	0.751	0.817	0.845
2022-01-18 22:28:32.379079	Random Forest	0.778	0.751	0.817	0.845
2022-01-19 16:34:09.802085	Logistic Regression	0.867	0.869	0.926	0.862
2022-01-19 16:34:15.876591	Support Vector Classifier	0.867	0.869	0.926	0.862
2022-01-19 16:34:39.519970	Random Forest	0.867	0.869	0.926	0.862
2022-01-19 16:44:06.230395	Logistic Regression	0.734	0.732	0.723	0.793
2022-01-19 16:44:15.373900	Support Vector Classifier	0.734	0.732	0.723	0.793
2022-01-19 16:44:45.945444	Random Forest	0.734	0.732	0.723	0.793
2022-01-19 16:47:06.950136	Logistic Regression	0.611	0.572	0.695	0.707
2022-01-19 16:47:09.575792	Support Vector Classifier	0.611	0.572	0.695	0.707
2022-01-19 16:47:33.839513	Random Forest	0.611	0.572	0.695	0.707
2022-01-19 16:52:33.378585	Logistic Regression	0.458	0.457	0.478	0.467
2022-01-19 16:52:34.790511	Support Vector Classifier	0.458	0.457	0.478	0.467
2022-01-19 16:53:03.427777	Random Forest	0.458	0.457	0.478	0.467
2022-01-19 22:17:23.404573	Logistic Regression	0.734	0.732	0.723	0.793
2022-01-19 22:17:24.050779	Support Vector Classifier	0.734	0.732	0.723	0.793
2022-02-09 11:50:45.200845	Logistic Regression	0.638	0.638	0.656	0.641
2022-02-09 11:50:50.391103	Support Vector Classifier	0.638	0.638	0.656	0.641
2022-02-09 11:51:29.416512	Random Forest	0.638	0.638	0.656	0.641
2022-02-09 11:53:22.207735	Logistic Regression	0.712	0.71	0.711	0.75
2022-02-09 11:53:54.461045	Support Vector Classifier	0.712	0.71	0.711	0.75
2022-02-09 11:54:40.650190	Random Forest	0.712	0.71	0.711	0.75
