Patient_ID,UBR5-AS1,UCK2,UNC13D,WDTC1,WNT2,XYLT2,ZDHHC9,ZGPAT,ZNF189,ZNF324B
DO32829,0.32,22.58,11.88,9.44,4.39,6.9,15.92,7.42,7.94,1.76
DO32860,0.9,14.58,5.84,11.91,8.59,5.49,15.83,8.39,7.64,2.32
DO32863,0.39,14.26,12.62,9.19,14.63,7.91,15.57,7.1,6.96,2.26
DO32875,0.52,19.39,44.65,7.27,1.68,13.64,13.16,11.61,7.15,2.61
DO32878,0.3,10.03,26.14,6.51,0.77,5.84,11.07,5.28,4.68,1.78
DO32887,1.09,13.42,32.54,13.59,0.0,4.77,17.01,18.62,12.27,4.18
DO32900,0.77,10.95,6.85,8.4,1.38,5.09,8.74,4.49,14.31,2.91
DO32936,0.91,26.79,38.89,7.5,0.0,10.62,5.78,16.0,4.53,2.36
DO33091,0.36,34.81,0.16,2.55,0.01,5.11,5.38,7.26,2.69,1.92
DO33128,0.54,23.94,23.26,6.66,5.94,11.07,18.36,8.07,10.73,1.57
DO33168,0.61,12.18,11.76,7.13,2.73,6.96,5.84,15.98,9.16,2.58
DO33256,0.29,21.01,29.64,3.07,0.0,5.36,3.63,12.41,1.39,1.14
DO33336,1.24,14.94,16.48,8.87,2.12,6.69,8.83,7.8,5.63,1.76
DO33344,0.7,15.87,23.31,9.44,2.99,6.19,15.94,8.78,13.62,1.79
DO33368,0.56,32.62,9.92,2.77,1.23,4.01,8.57,3.95,8.58,1.36
DO33376,0.69,25.61,3.49,9.72,11.65,7.49,18.88,5.95,11.85,2.76
DO33392,0.87,38.03,5.74,13.22,2.11,8.44,17.97,6.19,12.92,2.98
DO33400,0.57,39.28,4.25,15.61,2.27,5.97,24.0,13.39,15.1,3.5
DO33408,1.02,18.56,13.74,8.32,10.48,8.31,16.54,7.73,9.61,2.35
DO33472,0.22,9.43,25.16,6.26,3.34,7.18,13.38,11.06,5.45,2.88
DO33480,0.57,16.53,12.99,6.93,4.75,5.18,7.91,5.58,7.71,1.97
DO33488,1.01,25.49,1.62,14.46,5.17,8.09,17.0,6.44,14.2,2.51
DO33512,0.41,21.63,32.88,4.89,4.96,7.41,10.56,13.37,5.09,1.33
DO33528,0.15,30.08,20.14,2.52,0.03,4.14,7.04,7.71,2.88,1.27
DO33544,0.36,21.01,9.25,11.06,2.9,6.71,11.05,8.66,6.38,1.19
DO33552,0.55,22.25,16.96,7.03,8.76,7.52,16.3,12.07,9.64,1.93
DO33600,0.61,14.79,6.92,14.54,0.78,7.46,11.11,7.62,5.25,3.38
DO33632,0.06,19.64,19.93,3.32,0.0,3.17,5.66,8.93,2.84,1.73
DO33656,0.0,10.08,7.8,0.75,0.0,1.81,2.07,3.66,0.6,0.7
DO33984,1.5,22.43,6.21,10.51,7.84,9.26,19.82,7.92,10.27,1.65
DO34240,0.26,15.09,14.3,6.85,2.9,7.24,8.96,7.84,6.98,2.18
DO34264,0.22,29.64,5.28,7.06,3.27,3.91,17.25,8.96,9.34,1.53
DO34288,0.64,21.93,17.1,11.53,3.81,8.45,24.24,16.86,6.45,4.26
DO34312,0.79,8.31,13.65,6.26,3.45,7.67,16.61,6.32,8.29,1.55
DO34336,38.24,0.0,4.81,0.0,0.29,9.02,0.0,6.75,0.14,0.79
DO34368,0.48,16.98,9.29,15.37,2.36,6.27,17.13,8.86,7.62,1.91
DO34376,0.18,15.87,22.33,3.89,0.01,4.83,9.28,7.4,4.87,1.88
DO34432,0.91,17.03,7.6,8.58,6.51,9.58,15.05,11.73,7.57,2.39
DO34448,1.31,14.48,13.09,6.2,9.76,4.39,13.21,6.55,14.13,2.12
DO34504,0.81,20.92,19.48,5.23,2.38,7.07,10.3,8.79,11.0,2.5
DO34600,0.45,14.37,18.72,7.16,1.78,7.83,12.11,8.82,4.67,1.09
DO34608,0.42,37.32,11.43,11.35,5.82,6.72,13.8,7.6,18.21,3.32
DO34616,0.64,23.05,4.79,13.33,0.18,7.56,32.2,7.16,9.83,2.53
DO34640,0.75,16.04,26.34,6.5,2.46,7.13,22.02,9.57,8.34,1.33
DO34656,1.08,19.6,7.29,13.35,1.44,9.11,16.74,7.43,34.56,2.71
DO34680,0.7,17.59,16.26,6.88,1.08,10.81,19.36,11.97,13.32,2.47
DO34696,0.46,20.7,25.87,8.78,4.4,9.1,12.52,9.9,12.71,2.98
DO34720,0.97,26.38,8.66,17.1,8.44,7.62,19.96,8.18,22.37,3.38
DO34728,0.61,19.63,6.4,7.97,10.7,9.49,15.97,5.94,9.32,1.96
DO34736,1.08,21.74,4.34,6.59,3.68,6.03,13.3,5.95,20.58,1.39
DO34785,0.81,27.45,10.63,12.45,5.53,7.66,19.77,8.24,17.84,3.04
DO34793,0.73,14.24,7.41,13.09,4.63,8.23,17.45,8.13,10.88,1.87
DO34801,0.71,13.67,6.5,14.15,5.25,7.2,18.39,7.78,11.22,2.48
DO34809,0.95,17.93,2.9,5.95,1.49,3.99,10.54,4.06,18.63,0.96
DO34817,1.18,17.14,6.12,8.92,5.89,5.84,14.94,6.21,17.35,3.58
DO34849,0.4,7.96,23.84,7.45,0.84,5.18,7.69,8.97,7.6,0.85
DO34905,1.44,23.96,2.76,8.34,5.93,9.48,22.89,7.2,9.79,1.53
DO34945,0.22,19.52,22.62,4.3,1.14,6.56,12.81,6.95,8.8,2.38
DO34961,0.22,20.68,10.23,6.9,0.05,11.75,18.88,8.56,8.76,1.32
DO49074,0.57,18.65,60.32,3.99,0.0,5.27,8.1,16.32,2.99,2.08
DO49076,0.54,12.23,24.56,8.71,0.41,5.87,13.11,5.87,10.35,2.38
DO49078,0.98,15.54,10.19,9.89,3.31,7.52,13.85,7.56,7.71,1.71
DO49079,0.36,35.89,37.74,4.55,1.5,17.08,9.88,6.53,6.83,1.12
DO49080,1.28,25.85,7.54,8.6,1.14,10.7,14.28,7.67,13.34,2.7
