Patient_ID,UBQLN2,UBXN10,UBXN2B,UBXN6,UCHL1,UCKL1,UEVLD,UFM1,UHRF1BP1L,ULBP3,UNC119B,UNC13D,UNC45A,UNC93B6,UPK3B,URB1,URB2,URM1,USHBP1,USP13,USP25,USP30,USP32P1,USP33,USP38,USP47,USP54,UTP14C,VASN,VBP1,VDAC1,VDR,VGLL4,VMAC,VMO1,VSIR,VSNL1,WASF3,WASH2P,WDR45B,WDR70,WDR82,WIPI1,WNT2,WNT3,WNT5A,WNT7A,XAB2,XK,XKR9,XPA,XYLT2,ZDHHC9,ZER1,ZFP36L2,ZFP91,ZFPM2-AS1,ZFYVE19,ZFYVE9,ZG16B,ZGPAT,ZKSCAN1,ZMIZ1,ZMYM1,ZMYM2,ZMYND10,ZMYND11,ZMYND12,ZNF114,ZNF124,ZNF134,ZNF140,ZNF148,ZNF155,ZNF185,ZNF189,ZNF239,ZNF252P,ZNF274,ZNF275,ZNF28,ZNF284,ZNF30,ZNF324B,ZNF337-AS1,ZNF354A,ZNF419,ZNF431,ZNF436,ZNF438,ZNF462,ZNF468,ZNF480,ZNF484,ZNF496,ZNF501,ZNF502,ZNF517,ZNF519,ZNF528-AS1
DO32829,11.25,1.82,6.46,26.78,4.63,8.24,16.66,21.4,7.89,3.64,3.65,11.88,18.44,0.0,0.19,2.46,3.19,9.66,0.23,2.89,8.66,2.65,1.83,22.92,11.07,23.75,5.42,4.84,3.36,22.1,215.35,8.39,17.57,1.38,0.71,11.8,0.71,0.63,2.82,38.35,7.39,16.58,18.34,4.39,0.34,10.87,0.79,9.56,2.99,2.38,3.77,6.9,15.92,6.23,42.66,19.72,6.0,6.58,7.65,49.51,7.42,27.16,11.23,5.44,14.04,0.18,12.59,1.76,0.1,17.87,7.82,4.61,18.07,1.77,5.12,7.94,2.41,7.5,3.75,3.01,24.23,0.8,1.16,1.76,0.86,3.77,4.08,4.62,5.62,2.82,4.41,13.36,5.77,3.5,4.34,1.37,1.33,0.59,1.24,0.95
DO32860,14.06,8.02,13.03,26.62,9.03,8.27,11.12,67.81,11.28,0.39,6.23,5.84,10.58,0.0,1.29,4.78,2.81,8.71,0.27,2.37,17.43,4.55,16.7,32.85,11.47,27.26,32.94,14.45,2.48,17.02,187.12,12.27,30.11,1.7,0.97,12.67,2.16,1.23,5.62,27.2,9.9,26.72,13.04,8.59,0.2,11.08,0.62,8.11,2.15,5.82,5.98,5.49,15.83,5.09,56.67,19.39,3.87,4.21,6.18,27.25,8.39,50.78,17.68,4.66,65.86,0.12,27.71,0.54,0.25,33.95,9.01,10.98,18.67,4.39,14.84,7.64,1.58,13.2,14.46,4.36,14.95,1.06,1.28,2.32,0.7,2.57,4.0,7.36,12.11,5.68,5.95,10.47,6.87,6.7,5.92,3.39,2.1,1.23,2.22,1.45
DO32863,11.84,0.78,10.28,25.05,7.3,7.95,15.38,34.91,7.77,1.8,3.47,12.62,12.38,0.0,0.2,2.83,2.22,11.7,0.15,1.52,14.98,3.78,1.34,18.54,8.29,19.28,12.79,7.45,5.06,21.83,107.49,7.84,34.8,1.43,8.49,9.82,4.39,1.37,2.67,25.05,9.56,22.94,17.24,14.63,0.39,10.82,2.17,7.32,2.75,2.38,3.62,7.91,15.57,5.87,48.17,20.56,1.81,6.25,4.57,7.8,7.1,20.54,5.49,4.09,35.85,0.48,17.51,0.42,0.91,30.54,11.84,5.87,17.68,2.79,7.61,6.96,2.03,8.13,4.4,3.77,17.13,1.28,1.52,2.26,0.86,2.54,4.58,4.66,8.05,3.06,4.57,10.6,4.24,4.56,5.2,2.0,1.64,0.82,1.86,0.31
DO32875,7.96,2.55,9.57,27.61,47.76,12.0,13.02,36.33,5.52,1.64,5.58,44.65,20.55,0.0,1.88,3.19,3.28,13.79,0.52,2.6,12.17,2.05,10.1,29.4,8.39,18.02,6.37,7.81,13.48,23.21,140.89,3.85,19.55,1.63,1.96,16.53,0.78,4.48,6.22,68.34,9.58,17.22,20.31,1.68,1.4,13.14,3.0,7.67,2.23,3.34,5.6,13.64,13.16,8.48,34.23,15.29,8.66,12.47,9.38,21.19,11.61,32.61,7.58,5.83,35.35,0.43,18.4,1.31,0.99,12.97,8.31,5.73,21.74,3.27,23.99,7.15,2.31,13.67,9.76,3.85,9.09,1.31,1.23,2.61,1.49,3.35,4.5,5.91,5.58,3.07,4.62,6.8,2.57,5.53,8.38,2.59,1.65,2.52,3.16,0.49
DO32878,13.17,0.86,6.59,24.77,2.99,6.31,8.67,20.84,7.14,1.57,6.23,26.14,13.77,0.03,20.51,2.49,2.9,10.94,0.18,1.68,7.32,4.35,0.55,15.22,6.48,14.41,11.68,5.14,1.83,15.0,98.69,6.42,16.38,0.74,0.89,32.47,0.85,0.54,2.53,31.3,5.02,17.33,11.28,0.77,0.22,5.67,4.45,12.7,0.68,6.0,3.32,5.84,11.07,6.58,30.61,11.33,6.33,5.13,3.13,28.01,5.28,18.59,7.06,2.68,25.77,0.08,11.27,0.33,1.96,12.21,6.03,8.29,14.78,2.35,21.3,4.68,1.3,9.6,11.15,1.72,12.57,0.77,1.19,1.78,0.66,2.43,3.04,4.96,3.04,1.89,3.68,8.16,3.52,5.43,2.4,1.83,0.67,1.19,1.21,0.3
DO32887,8.96,5.42,7.63,28.13,1.56,29.25,7.43,24.02,6.64,0.54,9.67,32.54,17.37,0.11,2.92,6.3,3.2,19.0,1.37,1.39,15.06,4.45,5.98,56.41,5.53,21.69,62.82,6.67,3.11,5.58,53.0,14.72,20.37,3.32,1.13,21.58,2.4,0.58,11.8,19.29,10.68,14.64,10.02,0.0,0.75,1.04,2.38,8.66,3.34,14.85,8.75,4.77,17.01,11.99,38.26,15.69,1.01,13.02,5.75,7.48,18.62,45.08,19.4,7.16,36.16,0.96,19.9,0.36,1.37,5.55,7.21,12.16,12.08,2.47,7.62,12.27,2.31,14.04,20.24,4.18,14.82,1.18,1.36,4.18,7.43,4.49,6.54,21.62,3.45,5.3,7.98,8.95,9.38,6.3,4.03,1.68,3.96,3.28,2.65,4.94
DO32900,7.81,1.09,8.88,18.65,9.44,6.71,13.85,29.92,9.27,0.95,9.08,6.85,11.94,0.0,6.66,3.72,2.23,14.23,0.64,1.97,15.27,5.78,2.06,27.2,10.66,25.28,15.86,8.56,5.38,23.62,122.87,9.44,20.8,1.43,0.56,13.81,0.73,1.68,3.64,20.2,13.36,21.97,13.68,1.38,0.21,8.52,2.35,7.34,2.97,7.03,5.56,5.09,8.74,9.15,50.2,14.85,5.48,7.36,7.12,1.26,4.49,33.62,8.86,4.7,33.72,0.78,15.17,0.61,0.83,14.05,9.78,9.01,19.42,13.36,9.86,14.31,1.53,13.24,11.49,3.06,16.15,4.97,1.86,2.91,1.31,3.01,4.74,10.04,8.28,3.74,7.15,12.28,6.98,7.47,4.33,2.94,2.9,1.37,3.96,1.15
DO32936,7.34,6.8,6.81,27.53,0.0,14.31,14.67,27.98,9.16,2.79,11.35,38.89,20.53,0.0,84.45,5.76,3.56,7.79,0.04,2.8,16.26,3.01,1.4,19.59,7.95,17.47,7.85,3.93,17.88,25.66,166.94,2.42,7.8,0.91,0.13,49.64,0.12,3.93,6.59,32.55,8.4,14.36,19.13,0.0,0.93,0.03,15.5,8.13,0.45,4.95,21.95,10.62,5.78,13.74,6.51,30.02,5.3,16.76,4.36,3.62,16.0,24.77,6.7,6.54,68.48,0.75,19.1,0.23,3.09,5.07,9.96,11.3,25.04,3.27,30.77,4.53,1.33,12.22,20.8,2.59,7.08,0.68,0.86,2.36,2.85,5.65,10.23,4.29,2.77,1.03,2.73,4.07,6.96,3.82,14.83,0.67,0.0,1.1,1.72,0.01
DO33091,2.74,0.01,4.88,16.17,4.33,7.29,6.68,16.53,6.24,1.66,3.4,0.16,8.43,0.0,0.06,4.72,2.87,16.03,0.06,1.87,5.76,1.8,2.0,6.43,2.47,5.65,11.84,1.32,0.58,30.84,103.96,2.44,6.16,0.71,0.03,0.14,0.0,0.97,1.7,24.58,6.1,14.85,2.47,0.01,0.25,0.08,0.0,8.74,0.07,0.42,6.11,5.11,5.38,2.31,0.97,16.93,2.36,3.56,2.02,0.0,7.26,5.75,0.51,2.85,6.07,0.53,9.92,0.06,1.28,2.31,5.77,3.34,6.28,1.42,0.29,2.69,2.75,5.83,6.72,0.76,6.72,0.65,0.72,1.92,0.67,2.94,2.92,3.51,1.7,0.38,1.88,2.45,7.35,1.61,3.43,0.58,0.95,0.62,1.01,0.6
DO33128,13.73,0.99,7.63,15.05,7.36,11.85,17.24,33.46,9.32,1.73,2.77,23.26,20.31,0.03,1.94,4.15,5.66,14.18,0.84,2.98,16.58,2.92,2.39,30.21,9.7,22.58,26.94,10.92,10.21,28.38,137.48,4.92,25.57,0.87,3.28,13.86,1.64,0.86,3.09,32.28,11.33,30.94,20.1,5.94,0.42,8.48,0.18,7.88,4.83,11.17,5.32,11.07,18.36,10.52,64.17,16.7,4.82,5.84,5.95,19.38,8.07,14.45,8.97,8.05,22.87,0.27,17.24,0.74,0.34,13.71,7.05,10.37,26.58,2.61,11.39,10.73,2.6,12.88,6.27,3.21,12.43,1.12,1.7,1.57,0.7,3.86,2.3,6.86,7.15,3.18,5.07,9.04,4.78,7.02,5.62,3.33,2.85,0.73,5.85,0.42
