"CEP68","ATP2C1","FAM120A","NNAT","PLPP1","TOP2B","AACS","UNC13D","FNDC3A","FOXF1","CA2","CCL24","SFRP4","GIMAP2","CORO2A","ASPN","CCDC47","TMEM97","PPM1H","C12orf49","TUSC2","HEMK1","ICMT","B4GALT2","RPS6KA1","CPXM2","SLC36A1","PTGER2","SLC2A4RG","SH3BP5","PPP1R1B","DHX30","WASF3","C12orf29","SARAF","ATP5MC2","GLS2","GNS","STX6","RCBTB1","ITM2B","IGF2BP3","TEX2","ECPAS","SLC31A1","IGFBPL1","GPAT3","LUM","SUOX","SBNO1","IGFBP4","EMP3","PRUNE1","HHIPL2","CTDSPL","LRIG1","LYAR","TAAR1","FBXO25","RSU1","DIXDC1","ITPR1","SPARCL1","RPIA","C16orf74","TOMM70","CYP2U1","PXYLP1","CDK20","KCNS2","ZFYVE9","CBR3","TPPP3","IGSF8","C1QTNF7","PPM1L","SNHG16","APEH","MON1A","ADCY1","GFI1B","NDRG2","PKD1L2","ATP23","ENTPD3","HR","GFM1","SIK2","CRTAP","PA2G4","RNF34","LRRN3","PODN","ABRA","MSL2","MAGEF1","TBL1XR1","AQP11","MAB21L1","GPR157","ZBTB7C","ZNF284","FAM122A","MEIS3P2","ZDHHC9","MPZL1","SIRPA","MAN1A2","ITGBL1","RN7SKP79","RN7SKP203","RN7SKP250","RNU4.1","SNORA38","RN7SKP55","RN7SKP9","RN7SKP130","SACM1L","IGLV6.57","IGLV1.36","IGHA1","IGHV3.15","LINC00337","LINC01713","FEZF1.AS1","GORAB.AS1","RN7SL507P","RPS19P3","RN7SL415P","INMT","RN7SL299P","IGKV2.30","LINC00920","OR7E28P","ATXN7L3B","HLX.AS1"
3.24,49.68,50.32,0.03,25.38,23.62,7.28,11.88,20.01,1.79,286.94,2.97,15.15,15.2,12.36,28.39,89.32,17.01,4.78,10.72,5.22,3.47,29.1,11.54,22.83,3.37,4.31,3.02,10.5,6.55,8.07,10.37,0.63,3.1,113.5,54.83,0.22,39.13,9.86,4.34,214.61,16.37,13.3,15.13,12.59,1.12,8.22,416.16,3.32,4.77,43.41,11.35,6.6,0,10.29,13.58,4.38,0.06,9.12,21.75,3.81,4.37,29.36,5.21,0.06,19.43,3.14,3.56,0.75,0.03,7.65,0.98,4.47,8.42,1.1,3.67,40.54,32.34,2.84,0.29,0.03,19.44,0.43,1.83,9.43,0.9,19.97,5.64,27.49,27.1,10.16,0.14,5.16,0,8.57,21.45,53.75,1.28,0.03,1.87,12.4,0.8,3.24,3.11,15.92,97.33,15.96,18.28,19.96,0.39,1.9,0.47,173.41,9.07,0.25,0.58,0.32,8.74,2.69,0.19,31.31,9.55,0.24,0.78,0.94,0.07,1.18,0.04,0.6,6.7,0.49,4.19,0.66,0.05,37.26,0.06
3.85,44.4,42.58,0.03,16.76,45.18,11.04,5.84,52.19,2.6,19.84,7.58,176.31,11.11,6.37,74.89,43.19,5.67,4.24,15.64,6.01,3.78,18.55,8.89,19.34,11.15,4.31,3.23,11.35,10.07,33.26,13.35,1.23,6.89,159.57,108.4,0.31,88.16,13.62,13.29,554.81,6.55,7.2,17.07,9.63,0,4.45,623.88,5.37,9.83,73.74,29.26,8.11,0.16,19.79,16.15,6.57,0,13.46,30.6,5.5,8.51,86.91,11.07,0.43,19.87,3.55,5.36,0.92,0.16,6.18,5.77,3.87,8.63,1.21,5.1,36.36,24.29,1.75,0.39,0.07,28.9,0.05,1.5,3.06,3.83,23.29,6.17,39.68,35.78,15.81,0.36,10.86,0,11.1,11.02,72.8,0.33,0.02,3.66,5.11,1.06,4.69,1.61,15.83,87.12,9.56,18.72,44.14,76.66,53.43,40.31,317.85,8.31,30.74,26.47,7.84,18.12,39.73,3.44,1030.61,67.67,0.06,0,2.41,0.07,5.39,1.03,8.04,14.03,162.04,271.81,0.54,0.04,32.35,0.33
4.46,50.42,33.39,0.02,12.3,36.24,5.17,12.62,31.91,1.58,8.94,0.15,57.68,10,3.56,105.17,41.13,6.35,2.27,11.91,6.94,4.25,23.86,11.57,14.47,8.05,4.32,5.38,12.6,13.04,3.14,13.6,1.37,6.04,93.43,85.38,0.15,88.25,12.98,7.33,354.78,21.79,8.64,15.76,9.01,0.13,2.55,1112.37,3.67,5.43,54.52,38.31,10.23,0.05,20.5,12.33,6.87,0.03,7.32,34.85,5.82,3.78,53.98,5.09,1.51,17.65,4.2,5.65,0.98,0.09,4.57,3.92,2.85,9.48,1.45,2.43,42.1,27.61,2.16,0.26,0.04,9.65,0.45,2.4,0.52,0.37,18.66,5.17,48.77,31.75,9.1,0.25,10.96,0,8.04,13.77,65.51,0.98,0.06,2.24,1.75,1.28,3.27,3.3,15.57,101.35,13.08,13.1,88.32,1.34,2.08,0.81,288.93,14.02,0.43,0.62,0.33,12.38,0.41,0.56,30.9,2.94,0.05,0,0.77,0.23,0.79,0,0.19,9.95,0.6,2.48,0.38,0,20.63,0.16
5.63,67.82,39.21,0.01,16.07,21.58,5.94,44.65,32.82,1.73,9.16,1.64,10.49,7.56,6.52,37.37,46.67,14.64,2.89,9.69,5.77,4.49,26.28,16.64,13.99,1.8,4.78,2.15,24.26,10.13,20.45,13.28,4.48,6.29,87.1,79.8,0.89,44.68,14.8,10.22,249.27,21.27,12.62,25.37,11.71,0.39,3.17,284.84,3.8,6.34,72.22,22.48,6.41,0.07,16.87,8.63,8.37,0.08,11.05,23.14,4.09,6.09,49.25,7.32,5.18,12.97,2.23,12.21,1.51,0.21,9.38,2.46,6.15,10.74,0.64,4.49,68.64,24.27,1.7,0.17,0.12,13.78,0.74,2.26,0.98,1.08,17.87,5.55,27.38,34.6,11.95,0.22,4.62,0,10.45,19.28,45.05,0.32,0.02,2.44,0.63,1.31,3.45,3.65,13.16,77.37,11.07,15.49,20.28,0.96,3.5,1.01,278.94,13.35,0.51,1.42,0.42,11.78,8.16,1.98,672.89,58.56,0.17,0,0.08,0.1,0.64,0.13,0.42,4.2,0.17,63.13,0.77,0.05,18.37,0.2
1.98,38.07,28.53,0.02,7.12,13.66,8.51,26.14,17.11,0.71,3.37,1.19,9.93,3.25,11.72,19.5,28.38,7.09,1.29,15.74,5.04,3.7,13.55,7.04,13.98,2.19,4.17,2.06,8.13,2.9,15.93,10.95,0.54,9.11,73.31,82.9,0.57,48.65,5.72,5.83,123.68,13.4,5.18,14.34,7.84,0.17,8.16,133.3,5.68,8.23,69.67,53.23,4.9,0.03,14.06,5.35,4.39,0,5.1,17.96,1.37,2.54,26.64,4.55,4.89,16.26,1.01,3.37,0.85,0.03,3.13,0.82,4.5,7.18,0.17,5.13,34.1,27.72,2.35,0.14,0.01,8.88,0.49,3.62,0.48,1.16,15.19,4.08,27.37,41.03,14.06,0.11,6.16,0.01,7.62,7.49,24.97,0.27,0,1.24,0.58,0.77,3.03,0.67,11.07,45.17,4.67,6.28,26.12,1.35,7.11,0.85,1249.37,8.79,0.3,2.4,0.54,12.25,0.19,0.11,21.82,2.44,0.15,0,0.5,0.01,0.79,0.3,0.56,3.5,0.84,1.19,1.58,0,21.4,0.15
2.59,21.28,60.58,0,5.51,21.61,13.05,32.54,16.5,1.04,4.33,5.06,0.65,6.4,38.26,7.36,22.52,2.72,1.55,6.68,6.69,6.3,11.89,7.81,28.91,0.53,5.99,0.32,31.66,6.44,26.42,18.2,0.58,3.42,23.73,29.48,1.51,21.48,6.24,4.75,116.83,24.82,8.04,21,14.1,0,4.47,28.44,9.68,4.96,71.85,5.36,3.9,0.45,13.71,1.77,7.47,0,5.81,13.24,3.83,2.36,2.09,3.71,2.2,10.3,0.75,4.39,2.96,0,5.75,0.5,10.71,10.9,0.14,3.52,16.69,29.32,4.13,1.79,0.04,29.82,0.78,1.3,0.04,4.2,14.95,7.04,11.49,33.48,9.13,0.05,3.69,0,7.7,7.92,40.11,1,0,7.98,1.19,1.18,4.83,1.44,17.01,26.39,6.07,9.52,3.59,45.13,31.4,20.13,736.52,19.61,8.43,28.11,17.82,13.94,0.31,0,5.48,0.32,0.1,0,0.81,0,16.33,2.5,2.97,7.6,46.88,0,1.78,0,12.83,0
6.02,53.46,42.83,0.02,38.02,36.36,9.82,6.85,28.62,3.58,50.45,0.15,167.18,11.54,20.33,58.15,40.44,23.73,2.8,12.44,4.6,3.4,23.5,10.03,11.72,11.09,7.94,2.65,10.43,10.72,26.12,14.22,1.68,9.05,105.33,72.01,0.63,48.33,7.06,7.62,485.82,14.89,9.14,17.79,12.13,0.61,2.06,553.4,6.83,8.32,101.07,12.98,6.24,0.03,26.96,12.17,3.72,0.12,11.56,24.09,8.16,7.63,92.83,5.1,2.26,18.98,3.67,6.98,1.53,0.21,7.12,5.8,7.06,5.33,5.43,3.91,29.06,18.75,2.08,0.95,0.08,29,0.31,3.24,1.14,1.5,16.99,6.98,38.4,45.74,12.36,0.5,22.9,0,12.07,12.99,44.81,0.64,0.04,2.53,2.62,4.97,5.49,1.66,8.74,61.06,7.82,13.8,91.96,2.02,4.44,0.81,1048.8,42.37,0.39,1.44,0.16,16.86,0.35,0.17,53.21,5.44,0.14,0.25,0.48,0.2,0.92,0.36,0.82,20.5,0.35,2.92,0.95,0.06,28.1,0.27
1.83,34.59,44.3,0,5.22,23.6,11.07,38.89,13.2,0.03,0.31,0.03,0.02,1.11,3.47,0.04,33.02,6.81,2.11,8.44,8.58,4.46,46.63,8.06,14.18,0.1,0.7,0.09,41.11,2.15,34.15,16.44,3.93,9.65,109.52,249.24,1.11,49.94,12.85,3.65,141.88,28.58,8.05,19.61,12.28,0,48.79,0.84,5.95,17.86,58.92,42.14,12.78,0.05,7.07,1.31,29.21,0.11,4.35,19.78,1.54,0.16,0.08,5.81,8.44,28.98,0.48,3.94,0.86,0,4.36,3.11,1.13,10.38,0,3.03,42.08,40.34,2.3,0.01,0,11.89,4.31,6.2,0.02,1.44,20.29,6.29,57.47,58.87,11.94,0.01,0.05,0,10.85,10.08,50.34,0.19,0,3.82,7.43,0.68,0.91,2.56,5.78,33.93,0.82,6.73,26.66,0.32,0.56,0.07,304.46,30.99,0.14,0.45,0.07,12.52,0,0,0.12,0,0.32,0,0.45,0,0.08,0.14,0.47,0.12,0,0,0.1,0,18.28,0
2.1,8.96,13.83,0,2.78,7.83,4.45,0.16,7.01,0.05,4.85,0.04,0.02,0.04,0.11,0,20.61,11.72,0.16,5.35,8.35,2.48,17.36,14.38,2.4,0,1.27,0.12,14.27,1.72,0.11,17.26,0.97,10.59,26.48,174.01,0.01,17.2,4.04,2.41,7.97,12.19,4.5,7.87,6.69,0.13,6.55,0.12,3.76,5.68,8.86,155.48,2.52,1.65,1.7,0.13,23.87,0,3.62,34.26,1.21,2.01,0,4.22,0.32,15.9,0.37,1.32,2.38,0,2.02,0.94,0.14,1.43,0,0.69,95.41,15.36,3.71,0.03,0,0.37,0.07,4.3,0,0.09,13.1,0.99,7.24,179.87,11.58,0.01,0.01,0,2.42,5.92,14.91,0.11,0,0.88,0.02,0.65,1.44,0.72,5.38,15.49,1.7,4.08,1.84,2.9,4.75,0.24,1221.68,758.11,12.77,3.06,0.18,5.17,0,0,0,0,0.31,0,0,0.04,4.12,0.11,0.76,0.12,6.05,0,0.21,0.05,9.78,0.04
4.72,75.96,74.74,0.03,29.97,41.7,12.56,23.26,32.61,6.97,144.83,1.54,59.43,12.7,19.48,66.79,100.9,22.09,7.14,9.26,9.52,3.34,28.19,12.66,12.46,8.32,3.41,7.82,15.39,6.19,3.31,17.59,0.86,9.94,104.93,92.67,0.21,68.73,11.88,6.67,355.71,14.22,12.35,20.61,16.21,1.33,2.56,659.03,7.28,8.07,73.66,23.41,10.23,0.05,22.94,14.71,8.73,0,8.68,33.36,4.36,6.37,89.4,7.7,1.5,29.84,3.67,6.96,1.68,0.13,5.95,4.57,3.92,13.45,2.23,5.29,53.22,33.17,4.04,0.16,0.19,18.45,0.65,2.72,2.96,2.36,25.76,4.16,39.16,52.28,15.23,0.19,16.54,0.04,15.06,27.54,60.43,0.95,0.03,1.49,3.83,1.12,4.52,2.9,18.36,109.35,12.7,17.64,42.03,0.87,2.88,0.8,307.97,13.84,0.36,1.63,0.75,17.64,17,5.93,497.11,21.43,0.1,0,0.08,0.15,1.29,0.16,0.39,10.68,1.36,11.74,0.56,0,80.17,0.12
