"LIG3","KDM7A","COX15","EPHA3","FAM120A","TRAF3IP2","TOP2B","TM9SF3","CRYBG3","OSTM1","DNMT3B","UNC13D","LRRFIP2","PALMD","SF3A1","SNPH","CHRDL1","HTR2A","OLFM4","FOXF1","TRPA1","DKK4","NEFM","ATP1A3","CCL24","CCDC47","SMARCD2","SGCA","SOD3","CAPRIN2","ATP5F1B","PPM1H","NT5DC3","SMOC2","C7","TUSC2","NPRL2","PODXL2","PDE1A","IGFBP5","STK25","STRN","NFE2L2","KLHL12","AKR1A1","ATF6","ECRG4","GPR68","CNRIP1","UFM1","ELF1","KCNJ8","CPXM2","RNF113A","PTGER2","SLC2A4RG","TRPV5","RNASE1","CRB3","ADGRE3","SH3BP5","KHDRBS3","ZSWIM4","MMACHC","FBXO21","GLS2","TGFBRAP1","STAB2","ITM2B","IGF2BP3","SCN7A","ZNF189","ALDOB","GPAT3","SLC15A4","NABP2","LPAR6","AFG3L2","TRIM65","SOD1","RPL11","WDTC1","NECTIN4","TOR1AIP1","C1orf56","HHIPL2","THSD7B","LRIG1","PXDNL","INTS4","DIXDC1","GUF1","RPIA","OXNAD1","CYP2U1","PXYLP1","KCNS2","ZFYVE9","TMEM171","RCAN1","EFCAB14","TPPP3","ZNF222","SLC25A44","ALDH16A1","RAVER2","PBXIP1","WDR82","ADCY1","HNRNPK","SVEP1","PGAP4","CRYL1","GFI1B","NDRG2","MFAP4","ATP23","MTMR10","GREM1","ENTPD3","HR","GFM1","KCNAB1","HIC2","SYAP1","OTUD7A","SIK2","CRTAP","KISS1","RIOX2","TMEM43","GAP43","TP53RK","MYOZ2","LRRN3","SLC25A30","PODN","CSRP2","TMEM9B","ACER2","MAGEF1","IMP3","TMTC2","ZNF664","JRKL","GUSBP1","UBALD2","GALNT17","ATP6V0A2","LSAMP","MRPL40","ZNF284","DIPK1C","INSYN2A","NLGN3","SRGAP2B","SCOC.AS1","HOXA4","FAM118B","MPZL1","MIER1","MAN1A2","RN7SKP72","RN7SKP250","SNORA38","RN7SKP9","TCEA3","XKR4","RNU1.89P","RNU1.4","IGLV4.60","IGLV1.47","IGHV2.5","IGHV3.15","IGHV1.45","SFT2D2","MXD3","ZNF134","MIR99AHG","TMEM167B","TAFA5","RN7SKP111","RN7SKP165","FTH1P10","RTCA.AS1","MRPL20.AS1","IGHV3.72","SLC2A1.AS1","SPATA20P1","PIK3CD.AS2","CHORDC1P1","LINC02574","MAP3K20.AS1","ALG1L6P","HOXB.AS2","RN7SL263P","IGKV1.17","INMT","RN7SL299P","IGKV2.30","IGKV2D.29","RPLP0P2","RN7SL679P","RN7SL395P","IGKV1.27","SCARNA22","OR7E28P","ATXN7L3B","LYN","LINC02732","WAC.AS1","IGLL5","TIFAB","DENND11","HLX.AS1","SH3RF3.AS1","VS"
9.81,6.15,11.62,6.07,50.32,14.37,23.62,85.04,6.11,9.92,0.56,11.88,12.35,1.4,28.58,0.58,0.65,0.04,1118.87,1.79,0.29,0.24,0.01,0.91,2.97,89.32,24.34,0.46,3.83,3.35,134.97,4.78,1.09,11.1,17.35,5.22,6,7.14,3.4,67.01,31,9.55,42.88,14.98,109.39,12.26,0.58,1.38,2.06,21.4,30.19,1.9,3.37,8.4,3.02,10.5,0.05,78.42,18.05,0.45,6.55,3.99,2.93,2.2,10.93,0.22,8.84,0.02,214.61,16.37,0.75,7.94,2.86,8.22,9.68,9.81,7.35,18.21,4.41,153.08,526.15,9.44,8.43,21.13,1.35,0,0.39,13.58,0.25,7.4,3.81,7.68,5.21,4.31,3.14,3.56,0.03,7.65,4.93,8.84,48.97,4.47,2.09,6.3,5.87,5.61,25.17,16.58,0.29,166.59,2.21,4.25,12.13,0.03,19.44,8.41,1.83,10.25,23,9.43,0.9,19.97,0.25,0.75,20.55,0.58,5.64,27.49,0.19,10.52,16.3,0.76,4.87,0.02,0.14,2.82,5.16,5.7,29.81,9.93,21.45,24.02,6.63,22.62,5.52,3.29,14.95,0.29,3.44,3.23,25.56,0.8,2.11,0.08,0.5,15.2,0.05,0.17,12.76,97.33,20.53,18.28,0.13,0.47,9.07,0.58,15.67,0.01,0,2219.29,0.15,21.13,14.11,9.55,0,20.87,2.29,7.82,1.86,17.76,4.34,0.22,0.05,0.1,0.42,6.42,2.09,0.68,0.33,0.17,0.03,0.08,5.16,0,0,2.38,3.22,6.7,0.49,4.19,1.81,0.67,14.06,0.47,3.51,2.04,0.05,37.26,22.75,0.05,4.93,7.97,0.05,14.84,0.06,0.25,"1"
7.96,18.08,13.23,18.56,42.58,11.19,45.18,144.11,10.94,20.75,0.67,5.84,17.3,2.09,21.75,0.45,9.9,0.15,1075.16,2.6,0.07,4.86,0.19,0.52,7.58,43.19,15.19,1.11,8.33,15.22,160.63,4.24,2.16,10.26,69.67,6.01,4.66,3.95,6.27,523.31,24.62,10.09,50.95,10.05,41.98,20.58,3.12,2.5,4.02,67.81,71.17,4.74,11.15,6.87,3.23,11.35,0.05,62.42,17.52,1.36,10.07,8.8,5.39,1.01,16.45,0.31,8,0,554.81,6.55,4.31,7.64,0.7,4.45,20.7,7.55,29.05,22.25,4.06,115.06,742.28,11.91,26.69,33.76,0.47,0.16,3.32,16.15,0.27,7.83,5.5,9.36,11.07,7.04,3.55,5.36,0.16,6.18,3.35,11.26,53.2,3.87,2.11,4.71,4.19,5.47,36.25,26.72,0.39,154.14,5.23,5.43,24.35,0.07,28.9,12.37,1.5,10.3,29.66,3.06,3.83,23.29,1.07,0.96,16.13,0.22,6.17,39.68,0.76,9.69,37.17,1.11,7.04,0.04,0.36,4.41,10.86,7.16,32.61,6.7,11.02,9.61,16.97,39.19,7.97,7.35,10.5,0.39,10.34,5.45,10.31,1.06,1.25,0.02,0.94,16.9,0.02,1,9.67,87.12,26.48,18.72,22.07,40.31,8.31,26.47,13.13,0.03,5.18,2380.83,3.68,28.2,233.49,67.67,0.56,30.71,1.72,9.01,6.3,21.53,6.28,4.98,0.77,0.68,0.09,3.07,18.63,0.44,0.17,0.14,0.07,0,19.06,0,0.17,23.23,39.41,14.03,162.04,271.81,9.53,2.03,150.62,176.54,54.17,7.46,0.04,32.35,26.93,0,7.95,60.89,0.12,19.37,0.33,0.04,"1"
6.89,9.44,13.22,7,33.39,6.92,36.24,102.86,8.38,18.45,0.82,12.62,14.28,2.72,16.95,0.49,0.33,0.15,48.53,1.58,0.65,0.28,0.11,0.43,0.15,41.13,21.61,0.48,3.43,11.48,154.63,2.27,1.28,38.91,15.26,6.94,5.81,6.45,4.07,123.98,24.17,12.06,34.87,13.89,55.8,18.9,1.13,5.68,4.58,34.91,50.8,4.4,8.05,10.76,5.38,12.6,0.05,146.46,10.65,0.43,13.04,3.19,3.27,1.26,13.43,0.15,7.34,0.05,354.78,21.79,1.77,6.96,2.22,2.55,12.46,7.81,9.13,11.2,4.66,115.29,649.36,9.19,9.45,33.06,0.88,0.05,0.81,12.33,0.18,10.78,5.82,5.56,5.09,5.95,4.2,5.65,0.09,4.57,0.61,11.42,31.76,2.85,1.58,4.67,5.71,3.23,53.13,22.94,0.26,196.78,5.22,5.3,16.91,0.04,9.65,9.73,2.4,4.5,100.56,0.52,0.37,18.66,1.51,2.14,9.32,0.11,5.17,48.77,0.2,8.7,40.78,1.37,5.72,0.07,0.25,4.96,10.96,6.53,29.3,5.37,13.77,12.2,4.3,18.59,4.75,3.44,13.74,0.47,5.2,4.45,27.7,1.28,1.52,0.1,0.57,19.4,0.05,0.46,6.64,101.35,18.8,13.1,0.11,0.81,14.02,0.62,11.76,0.01,0.25,1966.89,0.09,4.48,1.75,2.94,0,23.5,1.13,11.84,2.49,18.12,8.97,0.25,0.18,0.18,0.22,2.85,0.28,0.53,0.7,0.6,0,0,0,0,0,2.53,0.13,9.95,0.6,2.48,0.16,0.58,12.85,0.35,2.71,2.11,0,20.63,14.11,0.21,4.16,3.23,0.06,6.99,0.16,0.1,"1"
12.94,5.53,14.75,7.9,39.21,10.86,21.58,75.69,6.47,12.6,0.9,44.65,14.96,2.28,24.28,0.72,0.99,0.07,835.29,1.73,0.19,0.15,0.04,0.83,1.64,46.67,33.88,0.14,3.12,14.75,126.1,2.89,3.32,7.28,24.29,5.77,5.58,12.88,4.67,113.42,36.44,13.41,31.17,18.99,43.42,17.01,0.57,1.46,2.8,36.33,37.8,5.97,1.8,8.57,2.15,24.26,0.02,46.58,6.68,0.46,10.13,7,2.7,1.27,14.83,0.89,9.39,0.03,249.27,21.27,2.3,7.15,1.74,3.17,11.82,10.4,8.94,31.95,10.56,81.89,512.47,7.27,25.77,30.35,1.12,0.07,0.37,8.63,1.04,12.76,4.09,6.69,7.32,5.04,2.23,12.21,0.21,9.38,2.66,14.27,29.64,6.15,2.1,5.21,8.22,5.7,26.93,17.22,0.17,206.56,2.23,5.01,7.77,0.12,13.78,7.98,2.26,6.98,47.42,0.98,1.08,17.87,0.78,1.17,12.35,0.29,5.55,27.38,3.86,10.56,27.23,0.19,5.45,0.02,0.22,5.5,4.62,9.96,20.06,2.81,19.28,14.78,3.63,26.4,5.56,9.82,31.8,0.31,6.42,4.21,12.67,1.31,0.39,0.2,0.15,27.42,0.07,0.31,4.89,77.37,21.06,15.49,0.33,1.01,13.35,1.42,10.92,0.04,0,1605.93,3.07,171.43,16.56,58.56,0.07,20.51,1.98,8.31,1.35,19.28,2.64,0.48,0.05,0.09,0.45,6.82,8.11,1.3,0.27,0.85,0.01,0,0.01,0,0.02,1.4,90.2,4.2,0.17,63.13,7.13,1.78,11.52,0.11,23.18,4.43,0.05,18.37,18.83,0.08,7.42,79.24,0.07,7.22,0.2,0.2,"1"
4.8,2.7,12.31,5.14,28.53,8.07,13.66,84.11,5.49,9.6,0.39,26.14,9.18,0.69,19.23,0.33,0.54,0.05,77.01,0.71,0.08,0.14,0.04,0.37,1.19,28.38,20.36,0.32,2.53,12.64,145.76,1.29,3.12,1.15,17.07,5.04,4.71,1.27,2.26,99.5,18.3,9.02,22.81,11.11,22.05,9.82,0.07,0.31,1.53,20.84,104.78,2.37,2.19,7.26,2.06,8.13,0.01,81.75,10.35,0.32,2.9,4.33,1.73,0.69,19.03,0.57,5.16,0.04,123.68,13.4,1.51,4.68,2.57,8.16,11.05,9.54,3.21,9.69,5.29,56.94,381.3,6.51,1.97,22.94,0.36,0.03,0.32,5.35,0.07,5.27,1.37,4.71,4.55,5.24,1.01,3.37,0.03,3.13,2.71,7.02,23.08,4.5,1.48,4.58,7.6,0.69,19.7,17.33,0.14,146.42,1.16,9.17,10.25,0.01,8.88,3.36,3.62,4.66,9.57,0.48,1.16,15.19,0.29,0.68,10.54,0.09,4.08,27.37,0.35,5.57,42.12,0.1,5.91,0,0.11,2.86,6.16,2.89,23.09,2.58,7.49,11.81,9.43,18.19,6.04,8.58,28.88,0.23,12.13,1.23,15.86,0.77,0.21,0.13,0.19,17.65,0.03,0.1,8.33,45.17,8.23,6.28,0.08,0.85,8.79,2.4,2.17,0.01,0,3226.97,0,0.91,0.88,2.44,0,13.03,1.22,6.03,0.48,7.25,1.88,2.18,0,0.13,0.1,2.72,0.05,0.63,0.05,0.23,0.02,0,0,0,0,3.51,0.67,3.5,0.84,1.19,0,0.84,24.91,0.24,0.62,3.39,0,21.4,13.58,0.06,2.2,1.73,0.02,2.3,0.15,0.02,"1"
9.15,12.2,11.06,3.99,60.58,5.91,21.61,46.83,4.67,6.35,1.45,32.54,29.95,1.92,23.3,0.59,0.05,0,12.16,1.04,0,0.29,0.03,3.04,5.06,22.52,16.98,0.42,2.65,7.11,54.89,1.55,3.51,0.45,5.88,6.69,5.09,1.66,2.07,15.05,38.47,10.68,29.52,5.94,30.29,11.04,0,0.05,0.5,24.02,25.18,1.86,0.53,5.33,0.32,31.66,0.04,21.32,21.5,0.03,6.44,1.06,4.65,2.7,8.4,1.51,7.24,1.02,116.83,24.82,0.68,12.27,180.02,4.47,17.45,9.36,9.08,19.02,4.13,33.39,167.82,13.59,15.04,16.46,1.2,0.45,0.23,1.77,0.03,16.02,3.83,8.19,3.71,5.69,0.75,4.39,0,5.75,1.33,9.1,34.48,10.71,1.17,4.81,9.36,2.73,19.44,14.64,1.79,123.66,0.76,3.95,15.16,0.04,29.82,2.2,1.3,14.29,1.47,0.04,4.2,14.95,0.25,1.6,14.71,0.27,7.04,11.49,0.28,7.9,22.5,0,6.31,0.02,0.05,4.99,3.69,1.81,12.56,10.89,7.92,8.33,6.36,35.91,5.86,14.73,14.17,0.31,8.54,0.74,6.68,1.18,0,0.03,0.16,23.34,0.03,0.53,7.3,26.39,19,9.52,16.25,20.13,19.61,28.11,22.58,0.02,18.88,6321.9,0,0.27,0.75,0.32,0,16.71,5.33,7.21,3.32,8.19,0.74,3,0.8,0.25,0.49,4.97,0,2.16,0.16,0.27,0.07,0,0.02,0,0.08,70.76,0,7.6,46.88,0,0,1.4,422.68,678.93,0,25.89,0,12.83,11.19,0,14.7,0.28,0.07,13.56,0,0,"1"
6.57,8.57,10.78,40.08,42.83,5.19,36.36,74.27,6.28,10.15,1.85,6.85,23.76,4.01,25.97,0.73,4.24,0.1,127.02,3.58,0.42,1.22,0.07,0.55,0.15,40.44,16.17,1.4,14.23,5.9,154.8,2.8,1.77,19.76,129.56,4.6,4.39,3.62,8.92,328.08,22.05,11.51,42.62,8.75,46.25,10.58,2.43,1.5,4.76,29.92,55.81,4.33,11.09,4.99,2.65,10.43,0.04,117.51,8.47,0.17,10.72,4.22,10.18,1.27,19.05,0.63,6.57,0.26,485.82,14.89,10.5,14.31,82.75,2.06,12.96,11.63,8.33,31.16,4.13,136.35,479.38,8.4,6.58,28.4,0.79,0.03,2,12.17,0.11,8.35,8.16,6.76,5.1,7.76,3.67,6.98,0.21,7.12,1.85,13.11,35.22,7.06,5.22,4.59,4.26,5.01,22.43,21.97,0.95,201.87,17.73,9.03,19.3,0.08,29,33.07,3.24,8.06,6.81,1.14,1.5,16.99,1.4,2.99,9.92,0.41,6.98,38.4,0.09,4.91,32.08,0.28,4.01,0.05,0.5,4,22.9,11.4,27.71,4.9,12.99,8.94,9.01,30.93,5.27,18.6,11.13,1.04,10.94,9.19,20.88,4.97,0.78,0.27,1.14,16.81,0.02,0.98,9.71,61.06,20.01,13.8,0.25,0.81,42.37,1.44,17.3,0.17,0,4300.09,0.13,2.07,4.62,5.44,0.06,18.74,2.14,9.78,7.41,15.12,4.59,1.75,0.19,0.07,0.32,3.95,0.62,0.69,0.2,0.79,0,0.05,0.02,0,0.02,3.91,5.66,20.5,0.35,2.92,0.73,1.66,15.58,0.42,2.82,9.15,0.06,28.1,15.34,0.48,5.36,2.97,0.06,12.29,0.27,0.28,"1"
7.29,2.13,27.61,0.03,44.3,9.32,23.6,112.05,4.78,4.85,2.48,38.89,10.34,0.02,26.94,0.98,0.07,0,0.18,0.03,0,0.25,0,0.48,0.03,33.02,34.69,0.03,1.02,49.34,446.19,2.11,1.09,0.16,0.04,8.58,5.76,3.42,0.03,0.14,33.78,9.38,45.96,18.1,26.75,15.86,0.03,0.02,0,27.98,41.91,0,0.1,14.93,0.09,41.11,0,15.79,19.39,0,2.15,1.42,2.92,1.66,15.36,1.11,4.75,0,141.88,28.58,0.04,4.53,0,48.79,10.65,12.15,1.41,27.45,7.76,158.76,858.99,7.5,24.84,51.86,2.51,0.05,0.01,1.31,0.01,9.97,1.54,10.71,5.81,6.46,0.48,3.94,0,4.36,3.79,5.24,31.15,1.13,1.6,5.99,11.9,4.48,17.14,14.36,0.01,182.63,0.01,1.89,18.62,0,11.89,0.01,6.2,2.12,0.05,0.02,1.44,20.29,0.02,1.38,11.07,0.05,6.29,57.47,73.22,9.3,22.33,0,6.57,0,0.01,2.88,0.05,2.05,12.77,1.08,10.08,7.17,9.73,28.66,9.13,5.78,20.78,0,4,0.05,18.9,0.68,0,0,0.3,11.84,0.03,0,5.14,33.93,11.08,6.73,0.08,0.07,30.99,0.45,1,0,0,1540.6,0,0,0.06,0,0,10.98,2.48,9.96,0.03,8.02,0,0.51,0.06,0.14,0.24,9.74,0,2.43,0.09,0.88,0,0,0,0,0,2.5,0.06,0.12,0,0,0,0.11,7.05,0.23,0,18.56,0,18.28,8.16,0.05,8.52,0.05,0,2.27,0,0.02,"1"
7.07,0.62,13.1,0.36,13.83,1.19,7.83,14.37,1.65,10.75,0.84,0.16,15.42,0,13.39,0.59,0.08,0.01,0,0.05,0.06,0,0,0.68,0.04,20.61,13.32,0.05,0,5.82,248.98,0.16,1.65,0,0.01,8.35,4.96,0.9,0.01,0.01,26.45,2.53,11,4.79,30.47,3.57,0,0.01,1.31,16.53,3.31,0.04,0,3.2,0.12,14.27,0,0.07,0,0,1.72,4.57,1.01,3.85,4.18,0.01,3.36,0,7.97,12.19,0.02,2.69,0,6.55,4.44,27.37,0,11.27,7.93,245.85,1524.55,2.55,0.05,7.8,1.08,1.65,0,0.13,0,5.78,1.21,1.62,4.22,3.27,0.37,1.32,0,2.02,0.21,3.22,3.11,0.14,1.96,6.42,1.78,2.75,3.51,14.85,0.03,199.05,0,0.59,1.65,0,0.37,0.02,4.3,0.98,0.01,0,0.09,13.1,0,0.7,7.83,0.11,0.99,7.24,0.03,7.46,19.62,0.92,6.82,0,0.01,0.85,0.01,6.09,9.6,0.44,5.92,10.17,0.57,9.08,1.58,5.47,12.09,0,2.2,0.02,19.96,0.65,0,0.01,0.04,6.31,0.01,0.04,7.95,15.49,6.36,4.08,0.28,0.24,758.11,3.06,0.02,0,1.26,14221.21,0,0,0,0,0,6.81,4.58,5.77,0,4.79,0.09,1.46,0.14,0.07,0.28,5.01,0,0.01,0,2.82,0,0.05,0,0,0,2.56,0,0.12,6.05,0,0,0.13,10.55,0.63,0,579.44,0.05,9.78,0.42,0,3.04,0,0,1.95,0.04,0,"1"
10.03,6.75,14.28,15.25,74.74,8.03,41.7,176.7,9.55,18.57,1.66,23.26,17.97,6.15,25.47,0.81,3.45,0.24,2036.11,6.97,1.16,1.18,0.04,0.46,1.54,100.9,27.12,0.42,10.21,10.06,184.61,7.14,3.06,12.15,22.05,9.52,6.43,5.06,6.54,63.69,26.06,11.4,48.5,14.72,76.35,16.41,0.29,2.78,4.8,33.46,38.25,5.71,8.32,4.25,7.82,15.39,0.06,457.95,12.81,0.28,6.19,2.86,6.65,2.43,17.37,0.21,6.93,0.17,355.71,14.22,1.4,10.73,1.41,2.56,14.37,11.39,14.44,45.72,9.75,248.69,494.01,6.66,13.68,46.9,1.58,0.05,0.18,14.71,0.09,7.55,4.36,7.81,7.7,8.88,3.67,6.96,0.13,5.95,1.62,17.39,52.44,3.92,1.23,8.35,6.07,7.21,38.27,30.94,0.16,259.39,3.2,6.35,8.09,0.19,18.45,21.95,2.72,9.67,74.16,2.96,2.36,25.76,0.46,1.06,15.12,0.09,4.16,39.16,0.41,12.68,38.98,0.86,5.33,0.01,0.19,4.85,16.54,13.37,35.96,16.67,27.54,13.4,14.42,28.69,6.19,5.1,14.09,0.77,8.59,4.87,20.82,1.12,0.34,0.14,0.3,26.12,0,0.55,10.09,109.35,25.98,17.64,0.39,0.8,13.84,1.63,22.98,0.02,0,2781.83,0.89,30.64,25.4,21.43,0.34,30.35,2.04,7.05,1.77,17.18,3.96,0.28,0,0.26,0.74,3.37,5.08,0.21,0.47,0.29,0.03,0,0.26,0,0.04,3.28,17.91,10.68,1.36,11.74,4.43,1.27,10.19,1.05,18.48,3.88,0,80.17,23.74,0.14,7.65,42.53,0.11,8.73,0.12,0.44,"1"
