"SS18L2","SLC30A9","SLAMF7","PITHD1","NDC1","ALDH18A1","PLPP1","SLC44A1","TOP2B","TM9SF3","AACS","TESC","UNC13D","SIRT1","ABL1","SNPH","CRISPLD2","FOXF1","PRSS33","DKK4","CCL24","SFRP4","PKD2L1","LAMTOR3","MLEC","CILK1","TUSC2","SF3B1","FARSB","ICMT","ELAPOR1","SCAMP3","AKR1A1","STX12","EPHX2","NUDT10","PLP1","ATG4C","HNRNPH2","SAT1","ACE2","MAP3K10","SLC35D2","ADGRE3","SH3BP5","PPP1R1B","MATN2","SARAF","UBQLN1","GLS2","IGF2BP3","SLC31A1","GPAT3","MTMR6","SUOX","NABP2","SLAIN1","TRIM65","IGFBP4","IL19","WDTC1","PRUNE1","SELENBP1","ARNT","CTDSPL","LRIG1","DOCK11","RSU1","ADRA2A","CRIM1","RILPL2","QDPR","SPARCL1","RPIA","THY1","C16orf74","MAGED4","ACSS1","PXYLP1","BRPF1","ZFYVE9","TMED6","ICOSLG","UBE2Q1","COX7A1","AQP5","PMVK","SNHG16","ZNF589","WDR82","SCRG1","SVEP1","NDRG2","PKD1L2","MFAP4","URM1","ZNF528","NUDT8","ENTPD3","APEX2","CRTAP","RNF34","LRRN3","MSL2","DES","KCNE3","MAGEF1","SPTY2D1","AMIGO1","SYNM","FAM43B","ATP6V0A2","NDUFA4L2","LEMD1","NKRF","ENTPD5","ZDHHC9","MPZL1","MAN1A2","FAM3D","TUSC1","RN7SKP72","RN7SKP250","SNORA38","RN7SKP76","SAMD13","HSPA1A","RNVU1.7","IGLV6.57","IGLV2.23","IGLV2.14","IGLC1","IGHA2","IGHA1","IGHV3.15","IGHV3.49","LTC4S","TMEM167B","GPR89P","RPS27AP11","SIRPAP1","SEC63P1","LINC01713","LINC02038","PFN1P3","CYCSP52","RN7SL507P","RN7SL709P","IGKV1D.16","IGKV3.11","INMT","RN7SL504P","RN7SL299P","RN7SL278P","RN7SL679P","MARS2","OR7E28P","ATXN7L3B","DENND11","TMEM238L","LINC00667","RN7SL664P","RN7SL451P","RN7SL300P","SETBP1.DT","MIR497HG"
6.11,32.33,3.59,13.25,15.72,22.93,25.38,30.06,23.62,85.04,7.28,9.3,11.88,3.61,9.73,0.58,20.55,1.79,0.47,0.24,2.97,15.15,0.12,27.01,25.37,6.37,5.22,86.44,32.48,29.1,10.39,23.01,109.39,29.8,10.23,0.2,0.21,3.94,40.38,281.86,66.02,1.68,13.17,0.45,6.55,8.07,3.87,113.5,25.03,0.22,16.37,12.59,8.22,7.59,3.32,9.81,2.26,4.41,43.41,0.08,9.44,6.6,33.45,12.25,10.29,13.58,4.86,21.75,21.08,28.72,5.87,8.91,29.36,5.21,33.37,0.06,5.39,7.94,3.56,2.7,7.65,0.14,3.64,21.06,4.61,1.65,12.89,40.54,1.4,16.58,0.25,2.21,19.44,0.43,8.41,9.66,9.87,9.1,9.43,6.47,27.49,10.16,0.14,8.57,0.74,96.92,21.45,12.49,1.39,2.29,0.09,3.44,6.42,0.83,3.23,7.69,15.92,97.33,18.28,28.44,2.22,0.13,0.47,9.07,0.41,2.6,49.25,729.17,2.69,4.35,18.27,37.87,12.23,31.31,9.55,5.76,3.3,17.76,0.22,0.04,0.07,0.74,0.78,2.36,0,0,1.18,0.72,2.54,28.31,6.7,0.16,0.49,1.11,14.06,3.49,0.05,37.26,14.84,0.27,9.51,1.21,1.19,3.29,0.16,0.63
8.46,39.77,11.89,16.48,8.76,27.05,16.76,34.61,45.18,144.11,11.04,93.66,5.84,13.2,9.9,0.45,38.49,2.6,3.44,4.86,7.58,176.31,0.28,44.2,35.75,9.59,6.01,124.03,15.6,18.55,4.64,15.77,41.98,24.96,6.15,0.54,0.66,3.26,44.28,283.96,5.17,1.93,14.46,1.36,10.07,33.26,16.02,159.57,33.44,0.31,6.55,9.63,4.45,14.78,5.37,7.55,14.66,4.06,73.74,0,11.91,8.11,18.56,17.94,19.79,16.15,9.79,30.6,13.89,27.94,11.37,5.5,86.91,11.07,37.74,0.43,0.47,7.86,5.36,4.02,6.18,0.28,4.25,24.72,5.03,54.51,9.71,36.36,2.92,26.72,1.35,5.23,28.9,0.05,12.37,8.71,13.29,3.3,3.06,4.3,39.68,15.81,0.36,11.1,1.34,14.39,11.02,11.12,0.74,1.16,0.56,10.34,3.91,12.09,5.68,6.67,15.83,87.12,18.72,9.1,2.68,22.07,40.31,8.31,9.55,3.7,41.5,1364.17,39.73,146.2,292.15,503.2,188.24,1030.61,67.67,14.18,0.51,21.53,0.14,0.43,0.29,0.48,0,1.11,0.1,0,5.39,41.94,5.65,126.86,14.03,6.56,162.04,3.06,150.62,2.06,0.04,32.35,19.37,2.95,9.08,2.41,287.29,8.29,0.38,1.88
8.8,28.29,1.05,15.2,11.43,30.65,12.3,55.11,36.24,102.86,5.17,26.19,12.62,5.56,9.88,0.49,42.75,1.58,0.11,0.28,0.15,57.68,0.54,25.82,21.94,7.54,6.94,104.03,12.62,23.86,1.25,20.1,55.8,24.53,2.01,1.26,0.24,4.65,49.31,173.01,0.45,1.75,14.36,0.43,13.04,3.14,4.6,93.43,33.26,0.15,21.79,9.01,2.55,16.64,3.67,7.81,6.04,4.66,54.52,0.03,9.19,10.23,9.81,18.64,20.5,12.33,11.15,34.85,1.55,28.11,7.33,6.23,53.98,5.09,88.19,1.51,3.1,5.35,5.65,2.86,4.57,0.16,2.25,22.45,10.42,0.04,6.93,42.1,2.02,22.94,1.54,5.22,9.65,0.45,9.73,11.7,4.07,3.32,0.52,4.99,48.77,9.1,0.25,8.04,0.53,6.99,13.77,12.3,0.27,0.47,0.21,5.2,3.6,0.96,4.08,6.57,15.57,101.35,13.1,0.23,1.42,0.11,0.81,14.02,0.8,2.59,355.91,957.02,0.41,5.14,10.27,14.94,11.36,30.9,2.94,1.05,0.93,18.12,0.15,0.19,0,0.11,0,0.98,0,0,0.79,1.46,0.17,6.45,9.95,0.71,0.6,0.79,12.85,1.81,0,20.63,6.99,0.05,5.57,1.34,0.89,1.96,0.22,2.07
7.94,28.48,3.45,10.6,13.91,20.87,16.07,29.57,21.58,75.69,5.94,18.75,44.65,6.07,11.27,0.72,27.09,1.73,0.09,0.15,1.64,10.49,0.25,17.09,28.96,4.85,5.77,85.59,16.84,26.28,3.46,23.49,43.42,15.22,2.4,0.14,0.14,4.53,39.55,288.59,1.5,4.21,18.6,0.46,10.13,20.45,3.27,87.1,47.89,0.89,21.27,11.71,3.17,15.23,3.8,10.4,3.68,10.56,72.22,0.01,7.27,6.41,4.62,15.06,16.87,8.63,4.73,23.14,1.93,23.68,6.35,6.61,49.25,7.32,28.45,5.18,3.48,6.93,12.21,3.86,9.38,1.21,2.31,23.41,4.22,1.99,7.78,68.64,2.79,17.22,0.1,2.23,13.78,0.74,7.98,13.79,4.43,2.61,0.98,4.87,27.38,11.95,0.22,10.45,0.56,4.14,19.28,8.79,1.85,3.04,0.13,6.42,5.33,10.31,4.43,3.75,13.16,77.37,15.49,0.8,2.3,0.33,1.01,13.35,1.05,2,121.28,1096.2,8.16,93.45,284.18,187.46,157.59,672.89,58.56,9.06,0.89,19.28,0.59,0.11,0.46,0.31,0,0.08,0,0.05,0.64,0.64,15.97,152.48,4.2,0.07,0.17,0.8,11.52,1.59,0.05,18.37,7.22,0.02,14.03,1.32,0.89,1.52,0.1,0.49
8.35,20.89,0.59,9.9,5.97,18.44,7.12,26.8,13.66,84.11,8.51,121.63,26.14,6.71,7.1,0.33,14.98,0.71,0.17,0.14,1.19,9.93,0.15,16.78,29.81,3.79,5.04,58.02,8.26,13.55,2.59,10.36,22.05,12.3,1.54,0.06,0.26,2.27,22.33,110.58,1.29,0.74,13.64,0.32,2.9,15.93,3.26,73.31,34.79,0.57,13.4,7.84,8.16,10.26,5.68,9.54,0.49,5.29,69.67,0,6.51,4.9,13.7,7.65,14.06,5.35,2.11,17.96,2.71,21.18,4.01,6.23,26.64,4.55,14.98,4.89,2.28,3.52,3.37,4.17,3.13,0.24,1.16,15.57,2.64,30.99,7.42,34.1,1.3,17.33,0.86,1.16,8.88,0.49,3.36,10.94,5.39,1.93,0.48,3.77,27.37,14.06,0.11,7.62,0.23,2.94,7.49,11.21,0.58,0.44,0.26,12.13,1.4,4.88,4.84,3.32,11.07,45.17,6.28,8.86,1.34,0.08,0.85,8.79,0,1.12,90.87,1299.55,0.19,1.57,8.24,10.59,5.06,21.82,2.44,2.19,0.5,7.25,0.01,0.15,0.02,0.24,0,0.55,0,0,0.79,1.66,0.24,5.52,3.5,0.59,0.84,1.61,24.91,2.85,0,21.4,2.3,0,5.08,1.45,1.48,4.41,0.1,0.59
3.71,16.84,1.4,12.58,3.57,21.53,5.51,20.54,21.61,46.83,13.05,13.96,32.54,6.25,14.18,0.59,9.68,1.04,0.08,0.29,5.06,0.65,0.03,7.82,32.96,3.68,6.69,88.61,8.62,11.89,1.7,11.04,30.29,13.27,18.17,0.23,0,1.38,13.77,128.64,0.65,5.74,26.38,0.03,6.44,26.42,7.66,23.73,30.09,1.51,24.82,14.1,4.47,4.51,9.68,9.36,0.19,4.13,71.85,0,13.59,3.9,21.41,11.5,13.71,1.77,1.47,13.24,1.63,19.42,4.48,5.46,2.09,3.71,5.29,2.2,0.14,12.41,4.39,6.14,5.75,0.46,3.51,21.86,0.69,18.65,7.06,16.69,6.19,14.64,0.13,0.76,29.82,0.78,2.2,19,27.23,3.5,0.04,5.15,11.49,9.13,0.05,7.7,0.03,11,7.92,8.9,1.63,0.43,0.32,8.54,0.67,5.11,4.48,22.35,17.01,26.39,9.52,32.76,1.62,16.25,20.13,19.61,3.11,2.38,98.67,594.74,0.31,0.68,1.04,2.87,1.41,5.48,0.32,0,0.21,8.19,0.47,0.15,0.32,0.52,0,4.14,0,0,16.33,12.07,0,0.71,7.6,37.41,46.88,1.98,422.68,2.72,0,12.83,13.56,2.91,10.44,3.58,795.57,4.04,0.09,0.36
8.78,26.44,4.29,14.02,9.86,21.24,38.02,45.07,36.36,74.27,9.82,15.59,6.85,7.06,11.58,0.73,53.93,3.58,0,1.22,0.15,167.18,0.03,28.47,28.48,6.37,4.6,90.94,13.37,23.5,12.23,10.97,46.25,15.32,9.99,0.49,0.17,2.92,29.52,91.31,17.9,1.89,16.35,0.17,10.72,26.12,53.27,105.33,32.88,0.63,14.89,12.13,2.06,10.64,6.83,11.63,5.49,4.13,101.07,0,8.4,6.24,13.82,15.54,26.96,12.17,5.55,24.09,3.93,31.8,5.52,6.66,92.83,5.1,42.29,2.26,4.09,6.61,6.98,4.46,7.12,0.64,4.33,12.35,6.24,1.06,6.41,29.06,2.25,21.97,1.67,17.73,29,0.31,33.07,14.23,13.15,2.78,1.14,4.28,38.4,12.36,0.5,12.07,4.19,16.5,12.99,11.55,2.09,2.38,0.58,10.94,2.99,0.05,3.26,10.5,8.74,61.06,13.8,15.44,4.04,0.25,0.81,42.37,0.95,4.41,21.5,1293.49,0.35,3.79,15.05,21.6,19.69,53.21,5.44,2,1.04,15.12,0.01,0.05,0.53,0.23,0.25,1.83,0,0,0.92,0.98,0.13,7.92,20.5,1.42,0.35,0.9,15.58,1.98,0.06,28.1,12.29,0.79,11.37,0.79,1.53,3.59,0.35,1.58
8.94,34.2,0.01,22.27,11.1,25.45,5.22,5.77,23.6,112.05,11.07,0.07,38.89,9.75,5.77,0.98,17.73,0.03,0.07,0.25,0.03,0.02,0.01,20.02,36.97,3.57,8.58,87.24,16.31,46.63,0.2,29.96,26.75,13.37,3.23,0.01,0,2.21,42.99,384.24,0.25,2.05,14.05,0,2.15,34.15,1.36,109.52,39.02,1.11,28.58,12.28,48.79,20.86,5.95,12.15,8.12,7.76,58.92,0,7.5,12.78,0.11,13.93,7.07,1.31,0.1,19.78,0.03,7.36,19.17,5.26,0.08,5.81,0.05,8.44,0.02,0.31,3.94,3.01,4.36,0,0.85,27.2,0,892.45,3.22,42.08,0.95,14.36,0,0.01,11.89,4.31,0.01,7.79,0.03,6.27,0.02,19.72,57.47,11.94,0.01,10.85,0.16,0.14,10.08,15.7,0.64,0.78,0,4,0.41,51.64,9.5,4.78,5.78,33.93,6.73,0.27,1.93,0.08,0.07,30.99,0.18,0.06,127.34,1073.94,0,0.04,0,0,0.02,0.12,0,0,0.56,8.02,0,0,0.11,0.06,0,0.14,0.03,0,0.08,0.53,0,0,0.12,0.1,0,0.3,7.05,3.69,0,18.28,2.27,0.01,4.15,0.07,0.22,0.62,0.02,0
10.28,8.26,0.03,8.74,13.69,15.73,2.78,2.88,7.83,14.37,4.45,1.35,0.16,3.5,20.15,0.59,0.09,0.05,0,0,0.04,0.02,0,4.92,18.4,0.66,8.35,51.42,15.54,17.36,0.09,19.76,30.47,3.71,1.06,0.24,0.04,1.61,23.34,47.49,0,2.19,3.97,0,1.72,0.11,0.65,26.48,20.7,0.01,12.19,6.69,6.55,4.55,3.76,27.37,0.89,7.93,8.86,0,2.55,2.52,0.07,13.89,1.7,0.13,0.65,34.26,0,3.72,3.61,2.65,0,4.22,9.18,0.32,4.14,1.25,1.32,3.32,2.02,0,0.27,12.28,0,0.24,8.46,95.41,1.92,14.85,0,0,0.37,0.07,0.02,16.03,3.94,3.1,0,4.15,7.24,11.58,0.01,2.42,0,0.02,5.92,3.15,0.21,0.07,0.01,2.2,0.14,0.08,1.99,1.48,5.38,15.49,4.08,0,0.56,0.28,0.24,758.11,1.45,2.24,39.73,4543.56,0,0,0,0,0,0,0,0,0,4.79,0.03,0.05,0.05,0.02,0,0,0,0,4.12,5.47,0,0,0.12,0.36,6.05,5,10.55,2.03,0.05,9.78,1.95,0.01,2.88,2.04,9.4,8.86,0,0.89
17.17,27.92,6.66,16.11,15.36,37.02,29.97,44.88,41.7,176.7,12.56,88.24,23.26,9.56,14.39,0.81,45.58,6.97,0.28,1.18,1.54,59.43,0.03,26.48,27.77,7.64,9.52,99.12,12.57,28.19,21.86,24.69,76.35,17.65,2.53,0.51,0.65,7.06,39.5,170.01,3.79,9.37,22.57,0.28,6.19,3.31,18.45,104.93,42.95,0.21,14.22,16.21,2.56,9.95,7.28,11.39,4,9.75,73.66,0.98,6.66,10.23,19.68,16.83,22.94,14.71,8.79,33.36,4.53,30.23,10.91,5.18,89.4,7.7,78.52,1.5,14.68,8.83,6.96,5.9,5.95,0.06,4.03,30.05,7.21,57.06,13.3,53.22,2.83,30.94,1.34,3.2,18.45,0.65,21.95,14.18,4.37,3.07,2.96,7.09,39.16,15.23,0.19,15.06,2.56,52.94,27.54,18.43,1.37,3.45,0.22,8.59,3.45,4.22,4.26,8.39,18.36,109.35,17.64,3.38,2.88,0.39,0.8,13.84,0.46,1.31,223.14,1233.01,17,38.06,163.91,284.83,158.27,497.11,21.43,5.32,1.19,17.18,0,0,0,0.55,0,1.12,0,0,1.29,1.79,3.62,86.52,10.68,0.16,1.36,0.64,10.19,2.5,0,80.17,8.73,2.64,15.73,0.86,1.14,1.08,0.22,0.77
