"ANKIB1","LIG3","DBF4","HFE","ATP2C1","RUFY3","AQR","ARNTL2","EDC4","RAB27B","LSG1","DSG2","HERPUD1","POLQ","LAMA3","LAMC2","PARP12","ZNF76","SEC61A2","CHFR","SRI","LRCH4","UBE2K","REXO1","RAPGEF3","CD59","RRN3","ALG9","LAG3","RAB11FIP3","ALKBH5","TMEM101","CDC45","SH2D3C","SRPK1","HNRNPH3","KLHL22","HMGXB4","HDAC10","PLEK2","RSPO4","TAF1C","MTFMT","ESRP1","CHRAC1","KCNN4","DMPK","IL27RA","MIER2","PLEKHA4","CRTC1","ZNF14","RUNDC3B","CDK6","BET1","MET","TAX1BP1","RLN1","UNC119","GNRHR","OSBP","CD81","SLC35F2","OAS2","TFEB","TFG","TP53I3","KCNJ13","TRIM67","RNF2","RPL21","WWP1","HJURP","IL17C","TREM1","NRSN2","SBDS","BEST3","MPST","PRKRIP1","MOSPD2","GADD45G","DNMT1","LRP3","ATP6V1E1","CAP1","ACAP3","TOP2A","PRMT7","SLC39A11","MRPS36","TIMM17A","ARHGAP32","PRR5L","NAT10","BRIP1","USP20","RNF121","KIF23","HAUS2","CLCA2","PNPT1","CENPO","MYPN","HCN4","FGF5","SHROOM3","VAMP1","VPS37B","RHOF","MBNL2","CMTM2","DPEP3","GFOD2","PELP1","PADI1","NXPH2","PHOSPHO2","EIF2A","NCEH1","SRD5A1","CDCA5","TATDN1","PLIN2","LRSAM1","DGKZ","CHEK1","DUSP15","EPS8","PTPN14","ZNF256","CAST","SLC25A27","TMSB4Y","WNT7A","PEX10","B4GALT5","HTR6","ZNF276","RACGAP1","FLYWCH2","TTC9C","PDZK1IP1","FBLIM1","MSX1","IWS1","S100A12","LRRC58","ZNF148","PIGX","F2RL1","TRA2A","MELK","LRRC18","REEP3","E2F7","TMCO5A","NOLC1","ZNF3","ZSCAN21","STAT6","MYO5B","ZNF23","NFKBID","ZNF83","SETD5","TM4SF20","P2RY12","ZNF804A","ARMC10","RNF139","LRRC8E","BPGM","ZMAT3","C11orf86","PRPF8","NPAS4","MRPS22","EIF1AD","RAB6A","LYSMD3","ZNF404","ANAPC2","B3GNT8","ZNF491","HNRNPA0","TMEM139","GPC5","SPDYE7P","D2HGDH","DDX60L","FAM181B","C8orf33","NDN","RBM10","AP2A2","MYBL1","FAM186A","C15orf41","UBE2H","MESP2","EVL","HRH1","TRPV1","PGAP1","MYO5A","S100A10","MBP","MIER1","ZNF485","HLA.DRB5","WDHD1","TYW1","TAP2","GABBR1","SAMD9","SYT3","LTC4S","GPC2","PEX26","LINGO3","TNFRSF13B","RPSAP52","CDK3","TUG1","RACGAP1P"
14.59,9.81,7.19,10.05,49.68,8.22,12.35,13.46,8.65,40.57,13.46,76.24,63.64,0.92,35.24,67.74,23.54,6.71,1.06,3.91,100.4,4.88,23.89,3.75,1.06,472.6,14.28,10.36,0.61,4.67,20.39,9.41,3.88,1.68,27.26,14.3,5.91,6.01,7.2,25.13,0.01,2.8,5.46,15.99,6.03,16.06,2.04,1.75,3.6,4.78,1.52,3.57,0.14,13.37,9.07,25.62,72.26,0,6.44,0,23.03,131.72,19.51,20.69,8.71,44.92,30.95,0.04,0.01,7.52,19.22,54.95,4.82,0.14,6.15,2.65,34.75,0.13,37.85,5,5.67,1.74,13.95,1.7,48.43,162.97,3.14,20.94,10.68,30.39,10.92,24.21,14.65,4.46,9.53,1.83,2.13,11.77,7.59,8.95,0.03,11.77,3.47,0.19,0.18,0.14,104.21,0.69,8.74,5,28.76,0.87,0.06,4.42,4.99,0.1,0,3.12,47.78,28.94,6.15,3.91,17.29,26.56,2.61,14.78,9.2,0.12,21.63,7.96,2.3,122.41,0.19,0,0.79,9.91,23.7,0,3.76,7.79,6.28,12.52,262.46,41.71,0.86,18,0.03,9.99,18.07,6.71,83.49,15.3,6.38,0.02,22.5,0.74,0.24,13.39,8.39,4.38,24.34,64.92,2.43,1.35,13.61,10.54,6.55,0.66,0.08,21.03,18.32,4.07,12.7,5.62,1.63,34.49,0.01,21.45,8.46,41.84,8.49,0.93,3.42,0.97,0.41,20.06,3.61,0.5,0,5.76,24.83,0.03,5.63,5.22,8.49,16.41,0.35,0,5.27,23.02,0.3,9.41,2.69,0.14,2.07,7.89,213.7,21.25,20.53,2.46,112.02,3.95,7.52,14.33,0.5,25.26,0.08,3.3,0.14,14.18,0.01,0.06,0.16,0.43,34.66,0
25.6,7.96,7.34,4,44.4,21.26,11.84,27.46,10.56,7.65,13.83,59.98,68.83,0.92,178.13,196.76,22.26,5.2,2.06,10.2,81.89,15.88,27.95,5.43,5.16,232.14,16.11,6.16,0.14,5.52,20.68,6.52,0.98,1.34,32.49,36.05,4.05,10.53,4.71,26.78,0,5.13,4.73,28.86,10.89,36.49,4.03,2.45,4.87,8.72,1.74,4.8,0.3,27.05,20.46,81.17,83.92,0.04,5.5,0,13.67,107.48,3.89,12.3,9.55,35.22,8.57,0,0.02,10.57,60.49,33.16,2.82,0,8.3,2.76,55.16,0.02,20.28,9.82,13.31,1.91,12.01,2.82,63.34,159.72,4.31,11.55,12.92,17.38,13.03,24.82,23.35,8.82,7.2,0.72,3.47,7.86,2.55,8.04,0.01,9.08,1.21,0.15,0.02,0.42,35.47,1.73,24.42,5.97,84.31,0.07,0.02,2.33,4.45,17.82,0,3.25,47.38,12.27,7.15,1.5,15.21,22.02,3.78,10.28,3.27,0.47,62.89,7.08,3.07,145.67,2.05,0.33,0.62,4.68,21.04,0.02,8.72,7.76,8.63,11.28,42.8,33.25,1.02,18.46,0.14,12.73,18.67,7.05,48.5,28.43,2.38,0.07,43.46,0.93,0,19.93,16.72,4.2,41.11,10.73,3.67,2.84,36.93,27.85,10.26,0.84,0.16,42.94,12.62,4,8.51,10.56,0.38,31.28,0,15.94,8.28,52.04,9.94,2.02,3.61,1.98,0.56,30.33,4.99,0.01,0,4.76,19.42,0.13,12.69,6.44,8.74,10.76,0.89,0.03,2.32,40.71,0.23,17.43,7.24,0.9,12.48,6.57,461.88,14.41,26.48,2.36,30.28,2.3,10.41,7.78,4.56,28.46,0,0.51,0.36,10.56,0,1.06,0.19,1.78,42.56,0.02
19.39,6.89,4.36,4.95,50.42,9.05,7.12,14.7,10.57,5.32,9.44,36.01,61.18,0.63,261.02,136.9,17.9,4.1,0.62,5.62,79.57,6.54,18.66,2.06,1.08,377.62,9.64,8.63,0.1,3.18,21.94,13.77,6.85,1.19,22.59,22.8,7.68,5.44,2.34,52.16,0,2.31,3.64,22.59,10.47,16.8,3.82,4.06,3.36,3.97,1.09,2.92,0.22,13.57,9.94,35.64,103.27,0.13,6.13,0,14.43,132.93,7.64,17.65,6.22,38.08,22.87,0.13,0.02,19.55,50.92,17.52,3.95,0,58.36,3.84,45.22,0.03,23.97,4.33,8.33,3.85,8.76,5.83,144.08,193.18,2.98,19.12,8.8,28.44,10.16,21.08,8.89,5.53,6.78,1.02,2.21,12.72,3.93,8.84,0.08,9.69,2.49,0.02,0,0.11,28.87,0.85,7.19,4.26,58.53,0.22,0,3.23,4.4,0.61,0,1.29,45.22,21.09,8.16,2.23,47.38,43.44,3.89,6.34,3.4,0.3,55.93,9.6,2.86,105.33,0.26,0.25,2.17,6.17,18.74,0,3.3,9.41,5.93,13.29,38.95,22.82,2.06,13.68,0.06,9.88,17.68,6.84,25.06,12.33,4.83,0.03,31.8,0.57,0.04,17.58,9.3,3.57,19.86,5.36,2.22,2.01,12.34,11.77,0.16,0.94,0.03,19.72,41.83,2.98,8.9,5.93,0.37,26.63,0.01,14.63,8.81,60.66,1.58,0.67,3.04,1.77,0.85,20.98,2.17,0.15,0,2.72,13.01,0.04,7.77,10.06,7.18,11.97,1.22,0.01,1.17,30,0.12,17.29,7.46,0.11,8.08,7.54,420.3,9.89,18.8,1.2,91.54,4.29,8.45,12.67,0.96,9.48,0.13,0.93,0.14,18.54,0,0,0.61,0.41,25.27,0
46.16,12.94,12.52,6.63,67.82,10.55,13.88,58.4,15.15,6.01,14.53,82.77,69.57,2.51,314.97,494.84,22.3,8.5,1.84,9.34,176.42,20.94,22.45,3.68,2.81,356.37,17.44,8.81,1.31,5.38,24.3,14.92,4.24,2.5,22.48,18.25,6.87,6,4.79,17.21,0.42,5.91,5.81,14.4,10.76,23.33,5.16,3.51,5.01,4.51,1.05,2.18,0.58,50.05,22.54,41.57,104.35,0.1,11.42,0.01,13.31,120.53,10.67,16.38,5.57,46.39,22.66,0.02,0.02,20.4,46.87,13.56,5.1,0.03,32.29,4.23,73.53,0.06,13.96,5.25,7.71,3.3,13.03,10.45,48.44,202.39,6.59,26.08,10.91,20.14,10.55,25.36,8.02,5.85,7.42,3.34,3.22,12.44,10.24,11.86,0.13,13.3,4.55,0.13,0.15,0.46,24.93,1.33,11.98,7.97,40.73,0.23,0.27,4.67,6.43,7.42,0.05,1.84,46.95,19.5,7.32,3.53,20.26,75.07,4.75,11.56,7.29,0.9,64.1,20,0.89,122.51,3.02,0.23,3,11.67,23.93,0.03,5.78,9.11,8.8,10.31,40.04,24.79,3.16,18.09,0.19,14.03,21.74,8.06,40.92,25,8.51,0.03,33.89,2.4,0.05,16.13,24.51,9.46,26.07,16.49,4.4,3.33,8.61,17.2,0.49,0.84,0.06,17.06,15.39,2.66,13.68,14.88,0.09,36,0.01,24.31,14.94,50.44,4.05,1.03,5.62,1.36,0.33,24.48,4.99,0.08,0,4.36,16.46,0.39,12.69,5.01,10.77,13.59,2.45,0.01,4.14,28.51,0.36,13.68,5.53,0.32,1.57,11.75,398.49,21.12,21.06,1.34,64.21,5.03,15.29,31.42,3.76,49.86,0.14,0.89,0.61,6.49,0.04,0.21,0.6,1.66,24.82,0
13.56,4.8,5.25,2.72,38.07,4.3,8.84,11.8,9.45,15.81,8.7,125.83,38.65,0.69,119.24,223.32,10.88,2.4,1.58,8.58,85.25,10.65,20.95,3.83,7.58,327.86,18.45,5.96,0.23,1.82,20.22,10.02,1.52,0.82,9.36,18.73,3.58,6.24,3.55,47.29,0.01,3.79,3.76,29.99,18.87,21.47,2.37,1.43,4.49,2.23,1.68,0.64,0.16,13.39,7.77,232.35,55.03,0,5.27,0,14.67,60.3,9.89,10.88,2.94,28.61,43.23,0.02,0.01,10.53,42.39,22.48,2.2,0.04,5.91,1.35,58.59,0.11,26.13,3.92,6.87,1.68,9.8,1.29,53.81,89.47,3.35,10.69,8.24,18.04,13.7,12.53,24.31,6.25,5.74,1.07,2.4,7.92,3.52,7.59,0,8.48,2.77,0.1,0.01,0.17,40.45,0.27,13.74,20.9,42.25,0.23,0.04,3.57,3.35,2.28,0,0.65,28.93,12.17,13.13,2.27,19.13,39.86,3.21,11.3,6.09,0.18,88.02,6.35,2.81,122.53,0.29,0,4.45,3.62,10.57,0,3.68,12.65,7.47,7.63,39.84,23.36,1.74,13.05,0.08,9.5,14.78,7.49,23.61,16.86,4.13,0,39.88,1.03,0,12.58,6.7,2.41,25.79,14.53,2.33,0.94,12.39,10.9,0.47,0.3,0.04,15.99,22.31,3.5,3.25,5.47,3.52,28.53,0.03,24.02,8.99,36.07,7.84,0.84,3.52,0.4,0.24,17.19,3.26,0.01,0,3.81,5.42,0.01,11.13,2.69,7.75,10.19,1.25,0,4.61,13.21,0.35,4.68,6.33,0.18,1.66,3.65,337.1,10.79,8.23,1.13,11.65,3.94,6.1,9.49,1.31,18.42,0.07,0.5,0.22,7.5,0.01,0,0.58,0.4,14.33,0
19.52,9.15,4.26,3.94,21.28,20.53,11.65,14.29,16.92,2.46,15.35,20.41,28.72,3.15,59.91,29.02,46.58,7.89,3.11,31.89,27.98,40.71,13.47,11.91,52.91,58.49,11.59,7.92,0.96,14.88,14.24,3.6,0.96,1.23,24.23,39.39,4.76,9.52,13.13,23.53,0,13.39,7.97,20,11.89,52.33,11.49,0.45,6.97,8.6,5.34,3.17,0.58,13.22,6.77,48.66,78.82,0.08,4.71,0,14.51,58.72,5.2,97.78,17.49,22.09,21.09,0,0.01,8.52,20.91,22.04,3.4,0,0.74,0.89,33.21,0.2,33.6,18.4,6.8,10.92,23.61,6.36,17.01,84.44,16.56,8.88,15.5,14.02,4.77,15.33,32.57,19.14,13.25,1.81,8.57,10.92,4.7,4.95,0,30.57,2.41,0.38,0.01,1.34,60.96,1.17,41.07,11.45,44.62,0.68,0,3.83,5.92,41.35,0,3.14,27.85,4.81,10.07,2,9.09,31.31,16.03,25.68,5.57,0,46.95,10.06,3.19,140.35,13.7,0,2.38,5.39,17.86,0,24.4,4.67,4.33,13.48,25.63,56.48,0.33,18.17,0.13,6.31,12.08,7.46,15.27,43.57,2.35,0,21.62,1.22,0,25.77,17.84,3.01,109.54,14.47,3.53,4.84,65.14,62.56,46.33,0.29,0.05,17.7,5.19,4.07,3.59,4.84,5.39,31.38,0,10.9,12.26,27.02,5.31,3.68,16.7,1.67,0.28,15.27,14.95,0.02,0,15.74,39.06,0,8.41,0.71,12.06,19.44,1.51,0.25,3.45,38.38,0,12.75,7.86,3.37,1.71,3.35,158.25,8.71,19,3.4,6.58,1.62,11.12,12.86,5.95,40.52,0.03,0.21,1.35,11.21,0,0.14,0.34,2.78,31.83,0
24.66,6.57,7.2,3.4,53.46,15.36,9.91,11.03,8.01,10.43,11.98,47.88,45.62,2.39,31.06,37.3,21.56,7.22,1.47,10.2,136.42,7.11,22,2.43,3.95,267.67,13.67,9.18,0.25,7.73,18.5,10.37,6.59,2.43,19.34,25.97,6.64,13.07,2.41,23.61,0,3.73,4.6,28.07,15.62,33.7,4.6,6.36,3.35,7.23,1.98,5.48,1.85,9.04,12.56,49.9,80.99,0.11,5.27,0,13.71,125.98,5.87,8.65,5.29,36.66,24.8,0.12,0.02,10.38,40.92,25.84,4.05,0.04,0.5,5.5,60.76,0.3,30.09,6.84,5.58,2.49,11.72,3.5,52.58,88.03,3.44,25.81,6.74,10.82,10.46,13.05,9.26,4.6,6.91,3.07,3.4,9.78,6.05,9.01,0,9.94,4.02,0.13,0.01,0.54,54.2,1.66,13.88,8.16,34.2,0,0.01,3.39,5.14,0.37,0.02,2.47,33.24,10.48,4.38,2.6,14.61,23.49,4.27,10.55,9.21,0.82,58.35,9.04,4.7,109.14,3.4,1.33,2.35,4.89,16.8,0,5.01,13.17,5.77,7.96,54.31,34.4,0.72,14.73,0.09,10.03,19.42,7.82,48.52,19.33,9.68,0.06,22.18,2.88,0,10.66,14.44,5.23,27.89,10.51,2.77,2.61,22.56,25.13,7.16,0.38,0.12,18.93,13.88,2.58,17.1,7.32,0.57,38.23,0.01,18.43,7.52,32.64,6.85,3.82,5.65,3.68,0.45,20.97,18.83,0.54,0,3.33,9.85,0.14,12.92,8.45,8.42,13.41,1.88,0.02,3.45,38.54,0.4,14.63,4.55,0.41,5.1,6.44,218.68,10.19,20.01,1.41,62.15,7.4,10.02,8.05,3.97,15.9,0.1,1.04,0.52,8.91,0,0.04,0.04,0.72,48.85,0
86.61,7.29,11.88,5.02,34.59,7.43,16.94,60.88,16.81,38.21,13.3,54.59,51.94,3.07,417.91,985.92,4.08,7.96,1.17,10.12,38.87,34.4,41.77,5.41,25.29,348.87,25.51,5.47,0.31,3.86,46.99,16.49,3.38,0.4,42.36,49.37,4.97,16.4,5.69,18.2,0,4.93,9.64,60.87,14.51,97.08,3.65,5.62,3.65,4.26,2.57,1.07,0.09,136.09,10.33,78.98,108.65,0.09,26.93,0,30.71,23.16,30.27,48.72,6.51,57.39,19.09,0,0,19.3,107.51,13.08,17.32,0,0.46,0.09,60.07,0,24.16,7.21,7.76,0.16,10.35,3.8,166.38,158.8,9.51,52.7,9.77,6.61,26.77,36.42,9.03,1.03,15.35,4.93,3.44,8.72,19.1,8.82,0.02,12.34,2.6,0.87,0.01,0.02,9.43,0.9,39.81,77.97,71.67,0.02,0,3.47,13.28,147.52,0,1.3,61.39,7.18,12.49,5.59,31.35,68.96,4.9,10.88,7.7,2.44,15.22,23.55,1.57,186.08,3.44,0.18,15.5,21.07,181.01,0.02,4.21,41.85,22.65,18.48,0.11,45.5,4.71,29.68,0,12.5,25.04,8.22,25.28,19.5,11.88,0,19.28,3.18,0,32.67,9.66,3,44.99,20.47,2.91,3.16,2.03,16.65,0.02,0,0.01,25.16,14.71,2.72,0.97,1.8,0,50.64,0,65.44,18.92,75.61,6.75,0.07,2.75,0.69,0.01,30.78,12.87,0.01,0,7.01,26.26,0.3,15.37,0.01,19.61,18.82,2.68,0,1.73,74.45,0.33,2.73,5.82,0.4,1.73,1.66,404.28,42.41,11.08,1.17,0.23,5.85,9.19,6.42,1.82,34.65,0,0.56,0.06,6.96,0,0,0.15,0.97,27.11,0
7.59,7.07,16.46,3.15,8.96,2.11,3.42,3.72,8.12,0.33,9.78,1.96,17.99,1.67,0.12,0.23,9.55,1.97,2.11,4.11,66.01,5.58,27.77,3.87,0.71,27.24,8.21,3.4,0.28,2.5,26.7,10.55,9.27,0.03,26.1,26.33,2.12,4.28,1.88,4.84,0,5.21,5.48,0.07,12.27,21.75,2.65,9.35,3.99,0.32,0.51,1.07,0.06,2.42,9.17,23.19,27.42,0.02,7.83,0,4.71,37.67,20.49,1.14,1.67,24.18,18.99,0,0.01,4.01,319.55,2.92,16.87,0,0.04,5.73,46.9,1.2,20.41,8.41,1.37,0,30.09,5.12,49.26,179.98,1.61,39.99,10.54,5.13,27.44,41.91,2.12,0.44,10.45,1.49,1.17,10.03,12.57,8.12,0,13.6,5.45,16.17,0,0.02,0.05,1.72,5.73,21.22,1,0,0,4.45,10.29,0.2,0.02,1.15,25.92,5.86,2.81,15.37,35.75,5.79,2.39,5.34,17.38,0.2,1.28,5.32,1.63,69.12,0.08,0.09,0,9.71,12.08,0,3.21,63.59,11.89,13.57,0,5.55,2.29,12.62,0,5.27,6.28,4.29,3.78,22.41,20.71,0,5.75,0.55,0,20.1,6.2,2.99,48.07,0.02,1.74,2.09,8.63,8,0,0,0.19,9.84,5.52,1.16,3.58,0.68,0.25,13.68,0.01,29.41,16.43,15.25,3.37,0.39,7.41,0,0.23,19.06,0.04,0.01,0,1.47,1.43,0.01,11.68,0,11.37,11.35,9.31,0.01,2.08,12.76,0.14,2.26,9.61,0.09,0.76,1.37,101.12,2.36,6.36,0.82,13.23,9.6,4.44,8.19,3.68,1.64,0.12,0,0.18,6.18,0,0,0.83,0.33,9.3,0
25.51,10.03,10.56,6.79,75.96,8.35,11.36,31.91,8.41,13.65,19.59,25.23,56.83,2.7,106.46,175.44,35.21,7.5,1.69,8.06,88.77,6.33,34.48,2.49,2.17,403.14,17.35,9.84,0.95,2.77,26.69,12.24,4.1,2.93,32.08,47.69,6.7,7.46,3.78,39.84,0,2.91,4.06,46.86,15.1,10.05,2.48,14.19,9.85,3.82,1.24,3.22,0.9,17.52,14.15,81.73,87.34,0.15,6.4,0,17.28,136.03,4.75,105.35,6.01,72.46,15.37,0.08,0,14.42,24.77,26.45,6.84,0,3.27,4.01,60.29,0.16,16.7,5.31,11.09,2.29,27.56,4.59,72.16,186.46,2.19,43.51,7.86,45.16,17.78,35.37,8.78,9.8,15.73,3.96,3.75,12.66,9.43,9.57,0.02,18.63,4.58,0.07,0.01,0.25,29.14,0.73,11.97,9.65,39.84,0.06,0.06,3.85,5.81,10.69,0.12,3.34,47.61,35.45,6.01,7.16,20.35,26.33,4.33,11.53,11.33,0.22,61.33,11.88,2.54,115.54,0.37,2.32,0.18,4.18,26.9,0,3.1,18.21,9.76,16.82,33.84,28.75,0.83,18.38,0.33,16.4,26.58,9.86,41.12,20.54,14.14,0.02,51.12,2.2,0,27.72,10.13,3.3,29.3,13.85,2.26,1.9,9.96,19.02,0.04,2.03,0.14,25.17,19.58,2.04,13.42,5.13,0.53,42.34,0.01,30.91,11.01,67.21,11.17,1.53,6.72,0.56,0.44,29.46,8.45,0.25,0,1.55,22.22,0.05,8.73,6.82,13.06,14.59,3.39,0,3.71,40.49,0.35,8.97,8.23,0.6,2.12,6.22,265.5,8.2,25.98,1.91,198.7,8.14,8.72,27.87,1.28,50.99,0.06,1.19,0.12,10.32,0.03,0.07,0.33,0.38,43.96,0
