"MAP3K14","KDM5D","ATP2C1","ARNTL2","RAB27B","DSG2","POLQ","LAMA3","DLX3","DMRT3","SEC61A2","TRO","PRR11","MAP2K7","ZNF324","ZNF671","EZR","KLHL22","UPB1","RIN3","SALL4","RSPO4","FERMT1","OIP5","CRTC1","AVL9","CDK6","MET","WASL","MTMR4","OSBP","SLC35F2","ZNF346","SMC4","DHCR24","APOA1","KIF14","TRIM67","TMEM175","LRP3","ACAP3","TOP2A","PUM1","MICAL1","ANP32B","UBL7","DEF8","RNF157","SEMA6C","C1QL2","EIF2A","NCEH1","C7orf50","MAL2","FAM83A","INCENP","MPZL2","EPS8","PTPN14","SLC6A1","RNF166","TUBBP5","U2AF1L4","RACGAP1","SCNN1D","FAM160A1","ITGA2","RAD21","HDX","REEP3","MYO5B","MLKL","NMD3","CKAP2L","PDCD6IP","ARMC10","ZNF296","PRPF8","KCTD13","MRPS22","RAB6A","CCDC57","ZNF404","ANAPC2","ZNF575","CLK3","GPC5","GIPC3","D2HGDH","SLC26A11","DDX60L","ZNF467","SIAH2","ZNF708","ANXA2","LCK","FAM43A","UBE2H","S100A16","FBF1","EVL","MIER1","OXCT2","SPRN","GPRIN2","ZBTB48","PCDHA1","SERPINB5","SYT3","LTC4S","HERC2P4","MIR155HG","RBM14","ASPRV1","TP53TG3B"
1.95,0.15,49.68,13.46,40.57,76.24,0.92,35.24,0.02,0.03,1.06,0.91,6.28,3.96,1.94,1,280.01,5.91,0.1,3.99,0.73,0.01,17.26,3.85,1.52,18.43,13.37,25.62,19.57,13.34,23.03,19.51,3.04,15.92,92,0.05,1.83,0.01,6.1,1.7,3.14,20.94,29.66,7.95,14.24,14.14,11.58,1.2,0.22,0,47.78,28.94,16.7,109.29,6.76,7.04,56.09,21.63,7.96,0.33,3.63,2.27,3.05,7.79,0.22,4.39,28.44,79.99,1.61,22.5,64.92,8.26,25.4,2.79,57.01,21.03,0.58,34.49,2.34,21.45,41.84,9.09,0.93,3.42,0.23,13.6,0.5,0.47,5.76,2.11,24.83,0.62,7.15,4.59,857.4,1.6,1.54,23.02,58.2,1.72,9.41,20.53,0.12,0.07,5.76,3.42,0.01,7.13,0.08,3.3,0.18,0.21,5.8,0.53,0
2.42,6.5,44.4,27.46,7.65,59.98,0.92,178.13,0.04,0,2.06,2.01,2.27,5,3.16,2.18,145.85,4.05,0.24,5.73,2.33,0,38.11,0.97,1.74,24.47,27.05,81.17,30.18,5.25,13.67,3.89,3.69,18.61,24.73,0.11,2.13,0.02,4,2.82,4.31,11.55,30.11,10.62,19.49,6.53,14.04,0.84,0.42,0,47.38,12.27,18.38,87.6,5.5,7.11,30.27,62.89,7.08,1.28,5.17,0,2.35,7.76,0.43,8.38,138.48,62.17,2.06,43.46,10.73,11.96,33.93,1.98,75.84,42.94,0.22,31.28,4.47,15.94,52.04,9.57,2.02,3.61,0.2,13.48,0.01,0.65,4.76,2.15,19.42,0.61,8.52,8.3,704.86,14.21,2.18,40.71,70.89,1.63,17.43,26.48,0.54,0.06,2,6.21,0,81.27,0,0.51,0.63,0.9,9.58,0.31,0.02
0.79,3.93,50.42,14.7,5.32,36.01,0.63,261.02,0.05,0.02,0.62,1.94,4.91,3.13,2.5,3.13,202.79,7.68,0.07,2.79,2.95,0,17.8,1.63,1.09,22.33,13.57,35.64,21.79,4.1,14.43,7.64,2.33,13.76,24.62,0.76,2.15,0.02,4.08,5.83,2.98,19.12,27.41,8.04,10.49,9.6,19.05,0.94,0.69,0,45.22,21.09,22.79,59.8,0.43,8.5,23.1,55.93,9.6,0.23,4.7,1.24,3.15,9.41,0.19,2.95,82.51,43.96,0.99,31.8,5.36,5.9,24.07,2.23,50.46,19.72,0.27,26.63,1.22,14.63,60.66,5.33,0.67,3.04,0.22,12.34,0.15,0.3,2.72,1.22,13.01,0.52,9.03,3.36,946.01,2.97,0.93,30,127.29,1.2,17.29,18.8,0.22,0.12,1.42,4.48,0,14.34,0.13,0.93,0.28,0.38,6.52,0.22,0.11
3.84,6.26,67.82,58.4,6.01,82.77,2.51,314.97,0.59,0.01,1.84,2.42,8.66,3.9,2.91,1.61,304.07,6.87,0.18,4.17,1.7,0.42,12.97,2.72,1.05,22.66,50.05,41.57,11.98,11.99,13.31,10.67,5.02,23.19,17.81,0.04,3.16,0.02,6.13,10.45,6.59,26.08,32.37,10.18,15.08,13.87,19.35,1.9,0.83,0.12,46.95,19.5,44.81,84.1,43.83,5.64,20.96,64.1,20,0.4,7.2,0.45,4.08,9.11,0.33,4.35,124.21,61.48,1.21,33.89,16.49,8.14,31.5,4.54,44.71,17.06,0.46,36,3.85,24.31,50.44,13.89,1.03,5.62,0.19,19.05,0.08,0.46,4.36,4.47,16.46,1.67,12.01,2.98,1936.29,5.9,3.9,28.51,136.44,2.41,13.68,21.06,0.51,0.11,2.57,3.92,0.19,41.2,0.14,0.89,1.45,0.87,10.55,0.21,0
1.88,0.02,38.07,11.8,15.81,125.83,0.69,119.24,0.58,0,1.58,0.55,3.54,4.3,2.35,0.45,227.42,3.58,0.08,3.1,0.45,0.01,23.65,1.12,1.68,12.88,13.39,232.35,11.69,5.45,14.67,9.89,3.23,11.04,18.02,0.35,0.84,0.01,5.3,1.29,3.35,10.69,14.52,5.64,15.95,7.41,13.55,1.46,0.26,0,28.93,12.17,13.33,213.52,72.05,5.87,30.87,88.02,6.35,0.2,1.8,0.64,0.95,12.65,0.04,2.22,70.98,73.17,0.66,39.88,14.53,11.26,26.57,1.46,73.4,15.99,0.45,28.53,2.36,24.02,36.07,8.5,0.84,3.52,0.18,6.88,0.01,0.34,3.81,1.51,5.42,1.3,9.81,2.71,837.02,14.86,12.89,13.21,51.52,0.81,4.68,8.23,0.03,0.01,2.86,3.08,0.02,57.33,0.07,0.5,0.32,0.26,8.91,0.29,0
2.93,0.1,21.28,14.29,2.46,20.41,3.15,59.91,0.16,0,3.11,1.01,3.83,9.73,3.38,1.15,84.08,4.76,16.51,10.72,0.85,0,40.64,0.73,5.34,19.95,13.22,48.66,16.55,9.35,14.51,5.2,7.34,35.33,36.07,958.07,1.64,0.01,9.65,6.36,16.56,8.88,25.57,21.5,47.31,4.85,14.6,5.2,1.02,0,27.85,4.81,26.83,29.14,9.14,8.83,16.61,46.95,10.06,3.81,6.33,2.69,6.77,4.67,1.27,10.43,50.7,30.44,0.4,21.62,14.47,15.33,17.16,1.93,72.14,17.7,0.55,31.38,10.85,10.9,27.02,41.62,3.68,16.7,0.58,18.41,0.02,0.71,15.74,6.42,39.06,0.59,5.95,13.04,364.77,3.04,3.26,38.38,34.39,3.41,12.75,19,0.41,0.2,10.22,11.66,0,26.49,0.03,0.21,2.19,0.84,18.13,0.59,0
1.95,9.47,53.46,11.03,10.43,47.88,2.39,31.06,0.05,0,1.47,3.56,3.64,3.23,3.84,3.08,96.29,6.64,0.39,3,1.46,0,13.45,2.34,1.98,14.56,9.04,49.9,24.13,6.53,13.71,5.87,5.11,21.6,17.05,13.88,1.68,0.02,5.01,3.5,3.44,25.81,24.54,6.2,21.44,7.53,8.72,5.76,0.88,0,33.24,10.48,15.39,118.07,0.97,6.21,40.93,58.35,9.04,0.68,4.49,1.36,5.28,13.17,0.14,6.33,45.21,63.38,2.22,22.18,10.51,4.1,23.71,3.8,52.13,18.93,0.29,38.23,2.58,18.43,32.64,10.72,3.82,5.65,0.68,9.85,0.54,0.56,3.33,2.07,9.85,0.71,8.61,8.53,830.91,2.87,1.87,38.54,49.65,2.26,14.63,20.01,0.49,0.13,4.88,3.69,0.22,32.64,0.1,1.04,0.7,0.44,8.49,0.68,0
9.68,0.21,34.59,60.88,38.21,54.59,3.07,417.91,0.1,0,1.17,0,15.41,5.73,3.83,0.01,213.24,4.97,0.05,1.17,0.04,0,15.17,5.14,2.57,23.78,136.09,78.98,75.38,8.79,30.71,30.27,3.39,18.02,12.38,0.02,7.42,0,4.14,3.8,9.51,52.7,27.94,1.49,16.43,7.85,16.46,0.61,0.38,0.11,61.39,7.18,18.76,176.13,20,13.34,51.42,15.22,23.55,0,3.03,0.05,6.04,41.85,0.34,6.77,102.36,104.51,1.78,19.28,20.47,5.34,35.71,2.47,41.8,25.16,1.33,50.64,2.75,65.44,75.61,7.23,0.07,2.75,0.02,23.44,0.01,0,7.01,2.65,26.26,4.34,13.49,2.05,1275.22,2.59,6.52,74.45,274.01,2.71,2.73,11.08,0.07,0.06,3.52,11.34,0.01,96.64,0,0.56,1.7,0.11,12.09,0.1,0
3.99,1.52,8.96,3.72,0.33,1.96,1.67,0.12,0.04,0,2.11,0.08,16.97,4.03,1.29,1.67,32.22,2.12,0.03,0.72,0.22,0,3.45,4.81,0.51,5.29,2.42,23.19,3.69,3.68,4.71,20.49,3.07,27.08,18.4,0,2.96,0.01,2.17,5.12,1.61,39.99,18.85,3.91,20.04,9.78,19.97,0.23,0.25,0.01,25.92,5.86,43.24,0.26,0.03,10.11,0.04,1.28,5.32,0,2.63,0,3.27,63.59,0.2,0.29,18.17,46.8,1.58,5.75,0.02,0.69,16.86,4.99,16.96,9.84,0.55,13.68,1.76,29.41,15.25,4.83,0.39,7.41,0.03,8.37,0.01,0.03,1.47,1.62,1.43,0.3,5.07,1.11,447.47,0.03,0.54,12.76,1.09,1.97,2.26,6.36,0.01,0.2,0.19,3.88,0,0.08,0.12,0,0.22,5,16.17,0.03,0
2.96,6.1,75.96,31.91,13.65,25.23,2.7,106.46,0.01,0,1.69,1.1,8.15,3.4,1.82,2.33,197.6,6.7,0.05,3.07,1.78,0,10.01,3.65,1.24,17.83,17.52,81.73,22.7,15.55,17.28,4.75,3.44,37.81,60.67,0.14,3.9,0,4.64,4.59,2.19,43.51,27.01,5.06,24.62,9.7,7.72,1.28,0.93,0,47.61,35.45,19.31,183.28,3.38,9.62,36.97,61.33,11.88,0.1,3.53,0.82,1.97,18.21,0.09,5.49,69.07,75.22,2.53,51.12,13.85,7.24,36.55,5.41,54.81,25.17,0.34,42.34,1.95,30.91,67.21,7.11,1.53,6.72,0.07,10.95,0.25,0.52,1.55,1.32,22.22,1.82,17.58,4.3,541.28,6.29,2.49,40.49,117.13,1.38,8.97,25.98,0.21,0.05,6.73,3.25,0.02,9.99,0.06,1.19,0.26,0.62,10.43,0.23,0
