PatientID,SMAGP,TAP2,TMEM48,UBE2H,USP20,UTP23,WDR8,WHSC1L1,WNT7A,ZBTB46
TCGA-2J-AAB1,2.0287,-0.143,-0.3634,-0.3983,-0.2264,-1.0896,0.5571,-0.0943,0.7,-0.5801
TCGA-2J-AAB4,-0.4413,0.553,0.3643,-0.1169,-0.2626,-1.4554,0.1609,-0.4874,0.465,0.244
TCGA-2J-AAB6,-0.4319,-0.0398,0.1006,1.2001,-0.1993,-1.3489,1.2011,8.777,3.4629,-0.338
TCGA-2J-AAB8,0.6294,0.0713,0.1411,-0.1201,-0.4894,-1.0559,0.0413,-0.5337,-0.4336,-0.9334
TCGA-2J-AAB9,0.0926,-0.5242,0.0507,0.5879,-0.1728,-0.713,-0.7467,-0.8012,1.2354,-0.0004
TCGA-2J-AABA,2.2748,-0.5678,0.4764,-0.1068,0.4268,0.1497,-0.4757,0.1458,-0.859,1.1317
TCGA-2J-AABE,0.4917,-0.4235,-0.79,0.4142,-0.0761,-1.3152,0.7739,-0.7673,0.1571,-0.4553
TCGA-2J-AABF,-0.5519,0.2357,-0.0092,0.0741,-0.3903,-0.5728,0.9996,0.1709,-0.3126,0.414
TCGA-2J-AABH,0.2301,-0.0098,-0.575,0.7388,0.1319,0.6577,0.1919,0.0234,-0.7494,0.9057
TCGA-2J-AABI,-1.2898,-0.6247,-0.6002,1.5833,0.7321,0.4174,-0.4824,0.1756,-0.4783,2.6617
TCGA-2J-AABK,0.6751,-0.5022,-0.3341,-0.6833,0.1523,-0.3818,0.2096,0.107,-0.7466,-0.748
TCGA-2J-AABO,0.409,-0.6439,-0.7151,0.2336,-0.6247,0.0711,0.0224,-0.5844,2.0523,0.0776
TCGA-2J-AABP,-0.9691,0.5503,0.6051,-1.7007,-0.0139,0.6578,2.0308,-1.3777,-0.8631,2.7703
TCGA-2J-AABR,-0.4571,-0.2865,-0.1941,-0.2028,-0.0274,-0.921,-0.5119,-0.1173,-0.1568,0.5876
TCGA-2J-AABT,-0.8593,-0.5298,-0.2373,0.3668,1.142,-0.9897,0.1615,-0.3264,-0.6997,-0.2471
