PatientID,SNAP29,SNAPC3,SNTA1,SOBP,SOCS4,SPAG8,SPATA2L,SPDYA,SPG7,SPIN2B,SPRN,SQLE,SRI,SRL,SSBP2,ST3GAL2,STARD5,STEAP1,STX3,SYCP2L,TAF5,TAOK2,TAPT1,TAS2R20,TAX1BP1,TDRD9,TEKT3,TES,TFCP2L1,TGM2,THSD1P1,TIGD2,TINF2,TJP2,TMC2,TMCC1,TMEM123,TMEM151B,TMEM159,TMEM168,TMEM175,TMEM20,TMEM48,TMEM52,TMEM86B,TNF,TNFRSF6B,TNK2,TOB1,TRIM67,UBE2H,UBE2J1,UBE2L3,UBE3C,UBFD1,UBXN2A,UCA1,UCK1,UFD1L,UNC119,UNC93B1,UNK,UPB1,UQCRH,USP20,USP39,UTP23,UTP3,VAMP1,VBP1,VPS41,VPS4B,VPS53,WASH7P,WASL,WDR19,WDR1,WDR20,WDR24,WDR63,WDR74,WDR8,WHAMML1,WHSC1L1,WNT5A,WNT5B,WNT7A,WWP1,XK,XRCC6,YDJC,YPEL3,YTHDC1,YWHAZ,ZBTB39,ZBTB48,ZBTB49,ZBTB6,ZC3H18,ZC3HAV1L
TCGA-2J-AAB1,0.6774,0.1294,-0.3772,-0.3832,-1.3599,-0.3003,0.3493,-1.0868,-0.6816,-0.6593,-0.2659,-0.2276,1.3375,1.2817,-0.1001,-0.9595,-0.4359,-0.0013,1.0492,-0.3457,0.3625,0.422,-0.3437,-1.068,-0.0274,-0.3529,-0.2627,0.2565,0.9637,-0.4797,-0.4533,-0.5381,-0.0516,1.0539,0.0268,0.8629,-0.7716,-0.2732,1.5647,-0.9719,-0.2156,-0.4461,-0.3634,-0.2236,-0.3589,0.1973,-0.6061,1.5766,0.7292,-0.2492,-0.3983,-1.3424,0.8165,-0.2325,-0.7364,0.5647,-0.4412,-0.0536,-0.2263,-0.6437,0.6163,-0.4621,-0.0333,-0.3491,-0.2264,0.7491,-1.0896,-0.4347,-0.5323,-0.925,-0.6023,1.5626,-0.3615,-0.0067,-0.0843,0.1595,-0.1274,0.0483,0.604,-0.2366,-0.0819,0.5571,-0.6139,-0.0943,-0.6386,-0.3457,0.7,-0.1394,0.2742,-0.0647,0.0214,0.715,0.7666,-0.247,-0.8493,1.0492,0.0351,-1.1967,0.0448,-0.0113
TCGA-2J-AAB4,0.4841,2.6493,-0.1196,0.1006,-0.6058,-0.0955,-0.2676,0.2072,-0.3718,-0.1046,-0.5075,1.7358,-0.7767,-0.9494,0.1643,-0.4134,-0.3719,-0.6613,0.9139,-0.3271,-0.4549,-0.4188,0.4931,0.1162,-0.3797,-0.3307,-0.1978,-0.5611,-0.0551,-0.0879,-0.5797,-0.4156,-0.1961,0.4584,-0.1994,0.6988,0.6208,-0.1049,1.9038,-0.4691,-0.1225,-0.5404,0.3643,-0.224,-0.0914,1.007,0.2356,-0.5037,-0.8484,-0.203,-0.1169,-0.3079,-0.2547,-0.562,-0.3383,-1.1515,-0.3265,-0.5299,-0.1012,0.1834,0.7841,-0.7177,0.0129,0.0517,-0.2626,-0.1479,-1.4554,-0.6617,-0.5367,1.0001,-0.0111,-0.7269,-0.4317,0.2546,-0.4114,-0.2347,0.0366,-0.8899,-0.9583,-0.1669,-0.5757,0.1609,-0.0975,-0.4874,-0.3619,-0.6408,0.465,0.8313,-0.0364,-0.3771,-0.3235,-0.3447,-0.7567,1.039,-1.1542,-0.1631,-0.8426,-1.1254,-0.927,-0.6263
TCGA-2J-AAB6,-0.6927,1.5348,0.8267,-0.6758,-0.267,-0.3945,-1.1233,-0.6534,-0.2054,-0.9686,-0.8512,-0.0821,0.5467,-1.033,-0.5503,-1.0334,-1.1116,0.185,1.1706,-0.2575,-1.2434,-2.0794,-1.0382,-0.3928,1.4645,-0.2424,-0.3486,1.609,-0.7145,3.1435,-0.7215,-0.9326,0.1568,-0.895,-0.8416,1.6891,-0.7259,-0.1894,-0.1947,-0.9103,-0.0359,-0.6708,0.1006,-0.2643,-0.0535,0.6791,1.736,1.5155,-1.1839,-0.3121,1.2001,-0.4762,0.4412,0.6233,-0.5671,-0.3376,1.6571,-0.209,-0.104,0.3164,1.1114,-0.7777,-0.0943,1.2604,-0.1993,-0.0225,-1.3489,-1.7292,-1.1197,5.0401,-0.203,-1.3017,-0.0923,-0.4351,1.1255,-0.4269,2.0687,-0.8348,-1.0032,-0.2824,0.6088,1.2011,-0.5712,8.777,0.3114,-0.6339,3.4629,-0.9515,-0.5702,-0.2457,0.2059,-0.3541,-1.4027,0.4854,-0.9143,-0.4322,-0.2445,-1.7334,-0.8429,-0.635
TCGA-2J-AAB8,-0.584,0.0465,-0.5412,-0.6032,-0.2293,-0.2077,-1.0082,0.2592,0.2867,0.4572,0.2832,-0.221,-0.5108,0.2385,-1.2294,-0.0103,0.3954,-0.5915,0.3907,-0.4088,-0.7456,-0.7878,-1.5719,0.5257,0.6142,-0.4531,0.0264,-0.6389,-0.6323,-0.8673,1.5536,-0.2339,-1.2405,-0.4533,-0.1244,-0.0225,-0.1095,-0.1732,-0.0885,0.7524,-0.6007,0.0324,0.1411,-0.2963,-0.2334,1.5545,-0.3753,0.1311,2.337,0.2295,-0.1201,-0.244,-0.5573,-0.606,1.5532,0.4304,-0.234,-1.0381,-0.5076,0.0665,-0.383,-0.7204,-0.0253,0.1809,-0.4894,0.4534,-1.0559,-0.2733,0.0137,-1.071,-0.0877,-0.8596,0.1408,0.9652,0.4658,-0.1821,-0.6934,-1.0143,-0.7872,0.0185,-0.2825,0.0413,1.5612,-0.5337,0.4529,-0.0055,-0.4336,-0.3972,-0.7168,-1.0857,-0.8334,-0.2437,-0.3855,-0.1751,0.5579,-0.5432,-0.874,0.7428,-0.7734,-0.3452
TCGA-2J-AAB9,0.5895,1.7807,0.0907,-0.2645,-1.1157,-0.4932,-0.053,-0.4202,-0.6366,-0.0205,-0.1797,0.1136,-0.1375,0.0558,-0.6403,-0.4631,-0.4751,-0.2082,-0.5766,-0.062,-0.6295,-0.0984,-0.1078,0.0003,-0.7329,0.3374,0.4936,0.2769,-0.495,-0.1253,-0.2856,-1.0312,0.5149,0.4505,-0.0239,0.5384,0.3637,-0.1511,-0.3463,-0.5302,-0.2806,-0.2764,0.0507,0.6629,-0.2077,-0.3863,-0.457,-0.2991,-0.1331,-0.0956,0.5879,0.0934,0.8645,0.4471,-0.2373,1.4441,-0.3511,0.3122,-0.3466,0.0502,0.1127,0.0004,-0.2762,-0.7221,-0.1728,0.0037,-0.713,-0.7657,-0.5209,-0.4372,-0.0867,-0.771,-0.2048,-0.3084,0.1017,0.05,0.2423,-0.7649,-0.0656,-0.0624,0.0953,-0.7467,0.1288,-0.8012,-0.4222,1.5794,1.2354,-0.2352,-0.5732,0.7011,0.1229,0.2888,-0.2127,-0.3942,0.2043,-0.5259,0.8819,-0.6506,-0.5208,-0.0479
TCGA-2J-AABA,0.0961,-0.4843,-0.406,-0.2721,-0.5039,-0.2853,0.3784,0.1366,-0.217,0.1358,-0.6736,-0.7029,0.4166,6.6583,0.2354,1.3735,0.5133,0.7991,0.4647,1.1716,-0.9186,-0.4793,-0.4138,0.739,-0.1085,-0.4216,0.437,-0.1422,2.9188,0.1041,0.6287,0.3169,-1.6683,0.5918,2.1846,0.1061,-0.0337,-0.2698,-0.0649,0.5983,-0.2661,-0.5176,0.4764,-0.3197,-0.0814,-0.5628,-0.5047,0.8513,1.7959,-0.0836,-0.1068,-1.237,0.211,0.1753,-0.9826,1.323,-0.2719,-0.0313,0.1112,-0.1511,0.5208,-0.2596,-0.2802,-0.2035,0.4268,0.4801,0.1497,0.9558,0.1391,-0.9103,-0.3211,0.0126,-0.0358,-0.1573,0.2368,0.2653,0.1162,-0.7128,-0.6045,0.5519,-0.4347,-0.4757,-0.2119,0.1458,-0.4022,2.6816,-0.859,-0.4532,0.1591,0.1218,-0.5049,0.0816,0.0209,-1.0167,0.1359,-0.817,1.0014,0.8619,-0.2568,1.6796
TCGA-2J-AABE,-0.247,-1.113,-0.0165,0.0443,-0.6899,-0.1383,0.4091,-0.4394,0.7715,-0.1808,0.1423,0.0641,-0.3958,-0.153,-0.7739,0.9311,0.0654,-0.4417,0.94,-0.1694,-1.921,0.2021,-0.3992,-0.4707,-0.311,-0.2362,-0.3242,-0.7417,0.2515,-0.8225,1.5653,-0.3423,0.0457,-0.2761,-0.2143,-0.341,-0.0515,-0.2209,-0.2967,0.3553,0.0211,-0.6544,-0.79,-0.2719,-0.3177,0.4503,0.6824,0.1716,0.438,0.1696,0.4142,-1.0056,-0.5501,-0.3444,-0.5638,-1.5001,-0.1745,-0.6605,0.0946,0.301,0.123,-0.5699,-0.4005,-0.0314,-0.0761,-1.3652,-1.3152,-0.5753,-0.0779,-1.3026,0.11,-0.4364,-0.4806,0.3213,-0.236,0.0247,-0.0719,-0.2389,-0.1942,-0.1456,-0.3437,0.7739,0.2975,-0.7673,-0.0391,0.5395,0.1571,-0.0862,-0.4664,-0.695,0.4129,0.6353,-0.1328,-0.2138,-0.3941,0.3204,-0.1181,-0.903,0.3271,0.4863
TCGA-2J-AABF,-0.6498,-0.3115,-0.6252,-0.199,-0.2285,-0.1793,-0.4315,-0.3844,0.402,-0.1147,-0.0512,0.3371,-0.1802,0.148,-0.558,0.032,-0.0242,0.0506,0.586,-0.1107,0.9255,0.9936,-0.3716,-0.3362,0.0986,-0.2369,-0.4475,0.2779,-0.147,0.0031,-0.0247,0.3186,-0.6134,-0.4198,0.3301,-0.2628,-0.2645,-0.0033,-1.0678,0.3528,0.0967,-0.1034,-0.0092,-0.2467,-0.0939,2.7167,-0.3111,-0.3426,-0.5529,-0.0982,0.0741,-0.0414,-0.7084,0.4838,0.6516,-0.7298,0.1378,-0.5519,-0.799,0.033,1.6099,0.0461,0.1124,-0.3351,-0.3903,-0.2219,-0.5728,-0.634,0.4265,-0.3443,0.4213,-0.3597,0.0972,0.5936,-0.0948,-0.138,-0.0763,-0.1059,0.2917,-0.2764,-0.4902,0.9996,-0.3553,0.1709,-0.3419,0.0044,-0.3126,0.0248,0.1588,-0.8716,-0.2769,0.2249,0.2618,0.1244,0.8515,0.4493,0.083,-0.281,0.9217,0.8426
TCGA-2J-AABH,-0.7512,-0.3645,-0.7922,-0.5788,-0.7283,-0.1524,-0.082,-0.4174,0.2728,0.0271,0.0636,1.9431,0.129,-0.5776,-0.2648,-0.0254,-0.9456,-0.5214,0.9485,-0.3524,-1.0245,0.3996,-0.5121,-0.5557,-0.5087,-0.2424,-0.6535,-0.4077,1.0963,0.194,0.1231,-0.3598,-0.0159,2.4933,-0.7309,0.6035,-0.6727,-0.0937,1.0049,0.2368,-0.1449,-0.601,-0.575,-0.1892,-0.1563,0.7335,0.723,0.8464,-0.6373,-0.1679,0.7388,-1.4888,-0.9938,0.1129,0.4803,-0.071,-0.2532,-0.504,-0.9044,-0.2398,0.2995,0.1945,-0.18,-1.0996,0.1319,1.1498,0.6577,-0.0844,-0.6,-1.0841,0.849,-0.3924,-0.5825,-0.2472,-0.6023,0.1859,0.6144,-1.3244,0.092,-0.3078,-0.3896,0.1919,-0.8832,0.0234,-0.9466,-0.322,-0.7494,-0.7098,-0.2955,-1.0397,0.0166,-0.2767,-0.2408,-0.4732,-0.9796,-0.5979,-0.0132,-1.4934,0.179,0.0086
TCGA-2J-AABI,-1.0997,-1.252,-0.5429,-1.017,-2.3306,0.4153,1.1001,0.0563,1.8029,1.9531,-0.3322,-0.5469,-0.2297,-0.9216,0.0818,0.8587,3.9848,0.2524,-0.3045,-0.3384,1.5012,-0.3408,-1.1452,7.8195,-1.5572,-0.4822,-0.0818,-0.0528,-0.0373,4.6941,2.2975,5.1898,-1.3586,-0.0082,0.0812,-0.6791,-0.3057,-0.2738,1.0474,-1.0888,0.4588,-0.8512,-0.6002,-0.3185,-0.1524,-0.4546,8.5562,0.2695,-0.9539,-0.231,1.5833,-1.4028,-1.0566,0.5963,2.8656,1.5691,-0.4494,2.0346,-0.899,0.9673,0.3897,0.9024,-0.1523,-0.456,0.7321,2.5555,0.4174,1.5053,1.1163,0.6591,-0.5156,-1.1275,-0.3015,1.6819,-1.2966,0.4732,0.5537,-1.9819,3.3347,-0.2893,0.9055,-0.4824,2.4221,0.1756,0.2228,5.9498,-0.4783,-0.9014,-1.0492,0.2059,-0.1669,1.3468,0.3197,-0.6329,-0.8162,-0.4058,1.8241,0.3013,1.2787,0.5223
