PatientID,SHROOM3,TMEM187,TRIM29
TCGA-2J-AAB1,2.2840000000000003,0.4545,1.4969999999999999
TCGA-2J-AAB4,0.5049,1.0436,1.4909
TCGA-2J-AAB6,-1.185,0.9344,1.1323
TCGA-2J-AAB8,-0.4312,-1.037,0.1052
TCGA-2J-AAB9,-0.5645,0.1825,0.4217
TCGA-2J-AABA,0.7064,-0.4469,-0.0501
TCGA-2J-AABE,-0.2014,-0.8377,0.6475
TCGA-2J-AABF,0.629,-0.4146,-0.7501
TCGA-2J-AABH,0.4876,0.4447,0.1806
TCGA-2J-AABI,0.1301,2.2114,1.7555
TCGA-2J-AABK,0.4057,-0.0361,-0.7613
TCGA-2J-AABO,-0.3738,0.2754,0.3953
TCGA-2J-AABP,-1.8808,-0.4955,-1.0369
TCGA-2J-AABR,1.0518,-0.153,-0.4556
TCGA-2J-AABT,0.7265,0.0083,-0.32299999999999995
TCGA-2J-AABU,-0.1081,-0.5123,2.5181
TCGA-2J-AABV,-0.9504,3.2548,-0.9139
TCGA-2L-AAQA,-0.1356,0.462,-0.0864
TCGA-2L-AAQE,-0.3083,1.7433,1.1966
TCGA-2L-AAQI,0.3253,0.3105,0.8067
TCGA-2L-AAQJ,1.6555,-0.1335,1.5162
TCGA-2L-AAQL,-0.1208,2.0547,0.4695
TCGA-2L-AAQM,-1.0883,1.4408,-1.037
TCGA-3A-A9I5,-1.5122,-0.0043,-0.9563
TCGA-3A-A9I7,-0.4204,-1.0186,0.5526
TCGA-3A-A9I9,-0.8590000000000001,1.0166,0.5085
TCGA-3A-A9IB,-0.1725,0.606,-0.4377
TCGA-3A-A9IC,-0.5531,0.6777,-0.0554
TCGA-3A-A9IH,0.0556,1.1222,2.7556
TCGA-3A-A9IJ,-1.5557,1.7318,-1.0372
TCGA-3A-A9IL,-1.4621,1.9631,-1.031
TCGA-3A-A9IN,-0.7684,2.0095,-1.0351
TCGA-3A-A9IO,-1.0305,0.076,-1.0347
TCGA-3A-A9IR,-0.4782,0.8105,-1.0371
TCGA-3A-A9IS,-0.1343,-0.5845,-1.0372
TCGA-3A-A9IU,-0.4207,-0.2696,0.6991
TCGA-3A-A9IV,0.5514,1.1697,-1.0369
TCGA-3A-A9IX,0.2536,-0.2125,-0.5854
TCGA-3A-A9IZ,0.7085,-0.9337,-0.5663
TCGA-3A-A9J0,-0.4267,-0.8578,1.1648
TCGA-3E-AAAY,-0.3318,0.306,-0.0549
TCGA-3E-AAAZ,0.0544,-1.6197,0.8081
TCGA-F2-6879,1.5969,-1.291,-0.0287
TCGA-F2-6880,-0.8879,2.7616,-1.0322
TCGA-F2-7273,0.1887,-1.1923,-0.9911
TCGA-F2-7276,-0.1599,-0.9206,-0.9442
TCGA-F2-A44G,0.7668,-0.8777,0.4011
TCGA-F2-A44H,-0.9923,-0.2035,-0.8869
TCGA-F2-A7TX,-0.9386,-0.9652,-0.6125
TCGA-F2-A8YN,0.7025,-0.1555,2.4456
